"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"2012-13 SURVEY 2 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,1008040,"M/J READ 2",565
01,ALACHUA,1008050,"M/J READ 2 ADV",452
01,ALACHUA,1008070,"M/J READ 3",657
01,ALACHUA,1008080,"M/J READ 3 ADV",325
01,ALACHUA,1008300,"READ 1",38
01,ALACHUA,1008310,"READ 2",4
01,ALACHUA,1008320,"ADV READ",54
01,ALACHUA,1008330,"READ 3",2
01,ALACHUA,1008350,"READ COLL. SUCCESS",25
01,ALACHUA,1009300,"WRIT 1",1
01,ALACHUA,1100220,"M/J LIBR/MEDIA TRAN",22
01,ALACHUA,1100300,"TV PROD 1",42
01,ALACHUA,1100310,"TV PROD 2",2
01,ALACHUA,1100330,"TV PROD 4 HON",2
01,ALACHUA,1200300,"BASIC MATH SKLS",16
01,ALACHUA,1200310,"ALG 1",1355
01,ALACHUA,1200320,"ALG 1 HON",1010
01,ALACHUA,1200330,"ALG 2",990
01,ALACHUA,1200340,"ALG 2 HON",737
01,ALACHUA,1200370,"ALG 1-A",19
01,ALACHUA,1200380,"ALG 1-B",73
01,ALACHUA,1200400,"INTENS MATH",338
01,ALACHUA,1200500,"ADV ALG W/FIN APP",199
01,ALACHUA,1200700,"Math Coll. Readiness",598
01,ALACHUA,1202300,"CALCULUS HON",36
01,ALACHUA,1202310,"ADV PL CALCULUS AB",134
01,ALACHUA,1202320,"ADV PL CALCULUS BC",74
01,ALACHUA,1202340,"PRE-CALCULUS HON",379
01,ALACHUA,1202352,"AICE MATH 1 AS",70
01,ALACHUA,1202370,"AICE FURTHERMATH 1AL",33
01,ALACHUA,1202375,"IB PRE-CALCULUS",104
01,ALACHUA,1202800,CALCULUS-IB,37
01,ALACHUA,1204000,"M/J INTENS MATH (MC)",70
01,ALACHUA,1205010,"M/J MATH 1",1028
01,ALACHUA,1205020,"M/J MATH 1 ADV",825
01,ALACHUA,1205040,"M/J MATH 2",999
01,ALACHUA,1205050,"M/J MATH 2, ADV",791
01,ALACHUA,1205070,"M/J PRE-ALG",953
01,ALACHUA,1205080,"M/J PRE-ALG, ADV",583
01,ALACHUA,1205370,"CONSUMER MATH",2
01,ALACHUA,1206310,GEO,1029
01,ALACHUA,1206320,"GEO HON",749
01,ALACHUA,1207310,"INTEG MATH 1",55
01,ALACHUA,1207330,"INTEG MATH 3",78
01,ALACHUA,1208300,"LIB ARTS MATH",270
01,ALACHUA,1209800,"MATH STUDIES-IB",19
01,ALACHUA,1210300,"PROB, STAT W/APPLS H",43
01,ALACHUA,1210320,"ADV PL STAT",192
01,ALACHUA,1300330,"ADV PL MUS THEORY",18
01,ALACHUA,1300400,"MUS THEA 1",35
01,ALACHUA,1300410,"MUS THEA 2",43
01,ALACHUA,1300820,"MUS 3-IB",9
01,ALACHUA,1300830,"MUS 4-IB",8
01,ALACHUA,1301000,"M/J GEN MUS 1",98
01,ALACHUA,1301010,"M/J GEN MUS 2",7
01,ALACHUA,1301020,"M/J GEN MUS 3",7
01,ALACHUA,1301310,"MUS APPREC",49
01,ALACHUA,1301320,"GUITAR 1",58
01,ALACHUA,1301330,"GUITAR 2",7
01,ALACHUA,1301360,"KEYBD 1",162
01,ALACHUA,1301370,"KEYBD 2",4
01,ALACHUA,1302000,"M/J BAND 1",518
01,ALACHUA,1302010,"M/J BAND 2",369
01,ALACHUA,1302020,"M/J BAND 3",344
01,ALACHUA,1302040,"M/J ORCH 1",46
01,ALACHUA,1302300,"BAND 1",79
01,ALACHUA,1302310,"BAND 2",83
01,ALACHUA,1302320,"BAND 3",60
01,ALACHUA,1302330,"BAND 4",50
01,ALACHUA,1302340,"BAND 5",1
01,ALACHUA,1302380,"ORCH 3",7
01,ALACHUA,1302390,"ORCH 4",18
01,ALACHUA,1302460,"INSTRU ENS 1",18
01,ALACHUA,1302470,"INSTRU ENS 2",18
