"Students Absent 21 or More Days by School
2015-16, Final Survey 5",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"District #","District Name","School #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
3,BAY,731,"NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL",533,6,"0,01125703564"
3,BAY,741,"NORTH BAY HAVEN CAREER ACADEMY",695,28,"0,04028776978"
3,BAY,751,"NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL",732,3,"0,00409836065"
3,BAY,771,"PALM BAY PREPARATORY ACADEMY 6-12",332,28,"0,08433734939"
3,BAY,781,"CHAUTAUQUA CHARTER SCHOOL",55,24,"0,43636363636"
3,BAY,782,"CENTRAL HIGH SCHOOL",121,77,"0,63636363636"
3,BAY,2701,"RISING LEADERS ACADEMY",138,6,"0,04347826086"
3,BAY,2711,"UNIVERSITY ACADEMY SABL INC",379,4,"0,0105540897"
3,BAY,7001,"BAY VIRTUAL INSTRUCTION PROGRAM",37,0,0
3,BAY,7004,"BAY VIRTUAL FRANCHISE",92,0,0
3,BAY,7006,"BAY VIRTUAL INSTRUCTION (COURSE OFFERINGS)",54,0,0
3,BAY,9002,"EXCEPTIONAL STUDENT EDUCATION",*,*,*
4,BRADFORD,21,"BRADFORD HIGH SCHOOL",815,293,"0,35950920245"
4,BRADFORD,51,"STARKE ELEMENTARY SCHOOL",637,54,"0,08477237048"
4,BRADFORD,81,"SOUTHSIDE ELEMENTARY SCHOOL",670,88,"0,13134328358"
4,BRADFORD,121,"RAINBOW CENTER",87,0,0
4,BRADFORD,131,"LAWTEY ELEMENTARY SCHOOL",278,32,"0,11510791366"
4,BRADFORD,161,"BROOKER ELEMENTARY SCHOOL",140,17,"0,12142857142"
4,BRADFORD,171,"BRADFORD-UNION TECHNICAL CENTER",*,*,*
4,BRADFORD,172,"BRADFORD MIDDLE SCHOOL",725,129,"0,17793103448"
4,BRADFORD,181,"HAMPTON ELEMENTARY SCHOOL",234,24,"0,10256410256"
4,BRADFORD,201,"BRADFORD INTERVENTION CENTER",92,46,"0,5"
4,BRADFORD,7004,"BRADFORD VIRTUAL FRANCHISE",*,*,*
4,BRADFORD,7023,"BRADFORD VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)",*,*,*
5,BREVARD,11,"TITUSVILLE HIGH SCHOOL",1487,151,"0,10154673839"
5,BREVARD,51,"OAK PARK ELEMENTARY SCHOOL",1013,84,"0,08292201382"
5,BREVARD,52,"JAMES MADISON MIDDLE SCHOOL",504,29,"0,05753968253"
5,BREVARD,61,"APOLLO ELEMENTARY SCHOOL",970,77,"0,07938144329"
5,BREVARD,72,"RIVERVIEW SCHOOL",160,41,"0,25625"
5,BREVARD,73,"SOUTH AREA HEAD START",35,3,"0,08571428571"
5,BREVARD,89,"FIELDSTON PREPARATORY SCHOOL",162,57,"0,35185185185"
5,BREVARD,91,"COQUINA ELEMENTARY SCHOOL",642,33,"0,05140186915"
5,BREVARD,101,"MIMS ELEMENTARY SCHOOL",622,66,"0,10610932475"
5,BREVARD,141,"ANDREW JACKSON MIDDLE SCHOOL",651,44,"0,06758832565"
5,BREVARD,151,"IMPERIAL ESTATES ELEMENTARY SCHOOL",753,51,"0,06772908366"
5,BREVARD,161,"ASTRONAUT HIGH SCHOOL",1188,81,"0,06818181818"
5,BREVARD,181,"PINEWOOD ELEMENTARY SCHOOL",518,31,"0,05984555984"
5,BREVARD,191,"CHALLENGER 7 ELEMENTARY SCHOOL",563,21,"0,03730017761"
5,BREVARD,201,"ATLANTIS ELEMENTARY SCHOOL",641,20,"0,03120124804"
5,BREVARD,301,"ENTERPRISE ELEMENTARY SCHOOL",591,21,"0,03553299492"
5,BREVARD,302,"SPACE COAST JUNIOR/SENIOR HIGH SCHOOL",1576,90,"0,05710659898"
5,BREVARD,1002,"BREVARD GROUP TREATMENT HOME",61,0,0
5,BREVARD,1011,"ROCKLEDGE SENIOR HIGH SCHOOL",1547,80,"0,05171299288"
5,BREVARD,1014,"BREVARD COUNTY JAIL COMPLEX",19,0,0
5,BREVARD,1017,"NORTH/CENTRAL AREA ALTERNATIVE LEARNING CENTER",194,27,"0,13917525773"
5,BREVARD,1018,"SOUTH AREA ALTERNATIVE LEARNING CENTER",182,32,"0,17582417582"
5,BREVARD,1020,"OUTWARD BOUND",72,0,0
5,BREVARD,1021,"PRE-K ESE SERVICES",441,0,0
5,BREVARD,1025,"BREVARD COUNTY JUVENILE DETENTION CENTER",395,0,0
5,BREVARD,1026,"FRANCES WALKER HALFWAY HOUSE",43,0,0
5,BREVARD,1027,"MELBOURNE CENTER FOR PERSONAL GROWTH",62,0,0
5,BREVARD,1028,"DEVEREUX HOSPITAL",100,0,0
5,BREVARD,1029,"RIVERDALE COUNTRY DAY SCHOOL",164,59,"0,35975609756"
5,BREVARD,1041,"CAMBRIDGE ELEMENTARY MAGNET SCHOOL",751,36,"0,04793608521"
5,BREVARD,1051,"ENDEAVOUR ELEMENTARY SCHOOL",1002,87,"0,0868263473"
5,BREVARD,1071,"GOLFVIEW ELEMENTARY MAGNET SCHOOL",734,35,"0,0476839237"
5,BREVARD,1073,"PROJECT SEARCH",47,4,"0,08510638297"
5,BREVARD,1081,"RONALD MCNAIR MAGNET MIDDLE SCHOOL",509,23,"0,04518664047"
5,BREVARD,1091,"FAIRGLEN ELEMENTARY SCHOOL",802,70,"0,08728179551"
5,BREVARD,1101,"JOHN F. KENNEDY MIDDLE SCHOOL",655,38,"0,05801526717"
5,BREVARD,1121,"COCOA HIGH SCHOOL",1717,210,"0,12230634828"
5,BREVARD,1131,"SATURN ELEMENTARY SCHOOL",932,65,"0,06974248927"
5,BREVARD,1141,"HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL",771,26,"0,03372243839"
5,BREVARD,1151,"RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL",609,22,"0,03612479474"
5,BREVARD,1161,"MANATEE ELEMENTARY SCHOOL",901,21,"0,02330743618"
5,BREVARD,1171,"VIERA HIGH SCHOOL",2086,139,"0,06663470757"
5,BREVARD,2011,"MELBOURNE SENIOR HIGH SCHOOL",2349,160,"0,0681140911"
5,BREVARD,2021,"PALM BAY MAGNET SENIOR HIGH SCHOOL",1766,156,"0,08833522083"
5,BREVARD,2031,"MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL",1087,45,"0,04139834406"
5,BREVARD,2041,"MEADOWLANE PRIMARY ELEMENTARY SCHOOL",799,38,"0,04755944931"
5,BREVARD,2042,"W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE",559,6,"0,01073345259"
5,BREVARD,2051,"UNIVERSITY PARK ELEMENTARY SCHOOL",748,86,"0,11497326203"
5,BREVARD,2061,"PORT MALABAR ELEMENTARY SCHOOL",867,61,"0,07035755478"
5,BREVARD,2071,"STONE MAGNET MIDDLE SCHOOL",924,59,"0,06385281385"
5,BREVARD,2081,"PALM BAY ELEMENTARY SCHOOL",957,71,"0,07419017763"
5,BREVARD,2111,"LOCKMAR ELEMENTARY SCHOOL",794,60,"0,07556675062"
5,BREVARD,2121,"JOHN F. TURNER, SENIOR ELEMENTARY  SCHOOL",792,66,"0,08333333333"
5,BREVARD,2122,"SOUTHWEST MIDDLE SCHOOL",982,73,"0,07433808553"
