"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2015-16",,,,
"SURVEY 2 DATA AS OF 11/13/2015",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,0101010,"M/J 2-D STUDIO ART 1",188
01,ALACHUA,0101020,"M/J 2-D STUDIO ART 2",167
01,ALACHUA,0101026,"M/J 2D STUDIO ART 3",82
01,ALACHUA,0101300,"2-D STUDIO ART 1",507
01,ALACHUA,0101310,"2-D STUDIO ART 2",71
01,ALACHUA,0101320,"2-D STUDIO ART 3 HON",21
01,ALACHUA,0101330,"3-D STUDIO ART 1",2
01,ALACHUA,0101340,"3-D STUDIO ART 2",1
01,ALACHUA,0102300,"CERAM/POT 1",213
01,ALACHUA,0102310,"CERAM/POT 2",40
01,ALACHUA,0102320,"CERAM/POT 3 HON",7
01,ALACHUA,0104300,"AP ART/DRAW PORT",10
01,ALACHUA,0104340,"DRAW 1",82
01,ALACHUA,0104350,"DRAW 2",3
01,ALACHUA,0104360,"DRAW 3 HON",10
01,ALACHUA,0104370,"PAINT 1",68
01,ALACHUA,0107440,"VISUAL TECH 1",1
01,ALACHUA,0108310,"CREATIVE PHOTO 1",71
01,ALACHUA,0108320,"CREATIVE PHOTO 2",1
01,ALACHUA,0108370,"DIGITAL ART IMG 1",19
01,ALACHUA,0108380,"DIGITAL ART IMG 2",9
01,ALACHUA,0108390,"DIGITAL ART IMG 3 H",1
01,ALACHUA,0109310,"PORT DEV: DRAW HON",8
01,ALACHUA,0109320,"PORT DEV: 2D DES HON",1
01,ALACHUA,0109350,"AP STUDIO/2-D",84
01,ALACHUA,0114860,"IB ART A-2",16
01,ALACHUA,0114870,"IB ART A-3",9
01,ALACHUA,0200320,"AP CPTR SCI A",79
01,ALACHUA,0300310,"DANCE TECNQS 1",13
01,ALACHUA,0300320,"DANCE TECHNQS 2",1
01,ALACHUA,0300334,"DANCE TECHNQS 4 HON",3
01,ALACHUA,0400300,"INTROD DRAMA",12
01,ALACHUA,0400310,"THEATRE 1",182
01,ALACHUA,0400320,"THEATRE 2",26
01,ALACHUA,0400330,"THEATRE 3 HON",43
01,ALACHUA,0400340,"THEATRE 4 HON",21
01,ALACHUA,0400370,"ACTING 1",113
01,ALACHUA,0400380,"ACTING 2",2
01,ALACHUA,0400390,"ACTING 3",3
01,ALACHUA,0400410,"TECH THEA DES&PROD 1",54
01,ALACHUA,0400420,"TECH THEA DES&PROD 2",11
01,ALACHUA,0400430,"TECH THEA DES&PROD 3",10
01,ALACHUA,0400440,"TECH THEA DES&PROD4H",4
01,ALACHUA,0400510,"THEA DIR & ST MAN 2H",7
01,ALACHUA,0400660,"THEA CIN & FILM PROD",11
01,ALACHUA,0400700,"MUSIC THEATRE 1",30
01,ALACHUA,0400810,"IB THEATRE 1",6
01,ALACHUA,0400820,"IB THEATRE 2",1
01,ALACHUA,0500000,"M/J PERS CAR SCH 1",302
01,ALACHUA,0500002,"M/J PERS CAR SCH C/P",1
01,ALACHUA,0500010,"M/J PERS CAR SCH 2",73
01,ALACHUA,0500020,"M/J PERS CAR SCH 3",58
01,ALACHUA,0500300,"EXEC INTERN 1",236
01,ALACHUA,0500310,"EXEC INTERN 2",31
01,ALACHUA,0500320,"EXEC INTERN 3",14
01,ALACHUA,0500370,"VOL PUB SERV",21
01,ALACHUA,0500500,"PERS,CAR,SCH DEV 1",345
01,ALACHUA,0500510,"PERS,CAR,SCH DEV 2",9
01,ALACHUA,0701000,"M/J FRENCH BEG",20
01,ALACHUA,0701320,"FRENCH 1",112
01,ALACHUA,0701330,"FRENCH 2",75
01,ALACHUA,0701340,"FRENCH 3 HON",25
01,ALACHUA,0701350,"FRENCH 4 HON",1
01,ALACHUA,0701360,"FRENCH 5 HON",1
01,ALACHUA,0701370,"FRENCH 6 HON",14
01,ALACHUA,0701380,"AP FRENCH LANG & CU",7
01,ALACHUA,0701800,"FL PRE-IB FRENCH 1",35
01,ALACHUA,0701810,"FL PRE-IB FRENCH 2",32
01,ALACHUA,0701830,"IB FRENCH 4",29
01,ALACHUA,0701840,"IB FRENCH 5",34
01,ALACHUA,0701865,"IB FRENCH 6",1
01,ALACHUA,0702320,"GERMAN 1",52
01,ALACHUA,0702330,"GERMAN 2",58
01,ALACHUA,0702340,"GERMAN 3 HON",18
01,ALACHUA,0702350,"GERMAN 4 HON",3
01,ALACHUA,0705320,"ITALIAN 1",30
01,ALACHUA,0705330,"ITALIAN 2",20
01,ALACHUA,0705340,"ITALIAN 3 HON",10
01,ALACHUA,0705380,"AP ITALIAN LANG & CU",11
01,ALACHUA,0708000,"M/J SPANISH BEG",88
01,ALACHUA,0708020,"M/J SPANISH ADV",343
01,ALACHUA,0708340,"SPANISH 1",741
01,ALACHUA,0708350,"SPANISH 2",757
01,ALACHUA,0708360,"SPANISH 3 HON",138
01,ALACHUA,0708370,"SPANISH 4 HON",22
01,ALACHUA,0708400,"AP SPANISH LANG & CU",53
01,ALACHUA,0708410,"AP SPANISH LIT & CU",16
01,ALACHUA,0708530,"AICE SPANISH AL",19
01,ALACHUA,0708532,"PRE-AICE SPAN 1 IG",34
01,ALACHUA,0708534,"PRE-AICE SPAN 2 IG",80
01,ALACHUA,0708536,"PRE-AICE SPAN 3 IG",41
01,ALACHUA,0708800,"FL PRE-IB SPANISH 1",118
01,ALACHUA,0708810,"FL PRE-IB SPANISH 2",116
01,ALACHUA,0708830,"IB SPANISH 4",78
01,ALACHUA,0708840,"IB SPANISH 5",78
01,ALACHUA,0708865,"IB SPANISH 6",2
01,ALACHUA,0717300,"AMER SIGN LANG 1",72
01,ALACHUA,0717310,"AMER SIGN LANG 2",55
01,ALACHUA,0800300,"HEALTH1-LIF MGMT SKL",21
01,ALACHUA,0800370,"PARENTING 1",8
01,ALACHUA,0800380,"PARENTING 2",5
01,ALACHUA,0800390,"HEALTH EXPER PARENTS",4
01,ALACHUA,0900310,"HUM 1 HON",112
01,ALACHUA,1000000,"M/J INTENS LANG ARTS",720
01,ALACHUA,1000010,"M/J INTENS READ (MC)",965
01,ALACHUA,1000400,"INTENS LANG ARTS",8
01,ALACHUA,1000410,"INTENS READ",612
01,ALACHUA,1001010,"M/J LANG ARTS 1",1072
01,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",658
01,ALACHUA,1001040,"M/J LANG ARTS 2",1082
01,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",624
01,ALACHUA,1001070,"M/J LANG ARTS 3",1099
01,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",665
01,ALACHUA,1001310,"ENG 1",1089
01,ALACHUA,1001320,"ENG HON 1",748
01,ALACHUA,1001340,"ENG 2",1035
01,ALACHUA,1001350,"ENG HON 2",738
01,ALACHUA,1001370,"ENG 3",850
01,ALACHUA,1001380,"ENG HON 3",466
01,ALACHUA,1001400,"ENG 4",338
01,ALACHUA,1001405,"ENG 4: FL COLL PREP",376
01,ALACHUA,1001410,"ENG HON 4",409
01,ALACHUA,1001420,"AP ENG COMPO",419
01,ALACHUA,1001430,"AP ENG LIT COMPO",339
