,,,,,,,,,
"Student Average Daily Attendance/Average Daily Membership by School",,,,,,,,,
"2013-14, Survey 5 Data Final",,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  A blank cell indicates no students in ADM.",,,,,,,,,
"DIST #",DISTRICT,"SCHOOL #","SCHOOL NAME","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
3,BAY,81,"HUTCHISON BEACH ELEMENTAR",110405,9447,119852,"0,9211777859359878",613,666
3,BAY,91,"CEDAR GROVE ELEMENTARY SC",80668,6648,87316,"0,9238627513857712",448,485
3,BAY,101,"CALLAWAY ELEMENTARY SCHOO",87119,8326,95445,"0,9127665147467128",484,530
3,BAY,111,"MERRIAM CHERRY STREET ELE",68742,6112,74854,"0,9183477168888771",382,416
3,BAY,131,"LUCILLE MOORE ELEMENTARY",87487,7344,94831,"0,9225569697672702",486,527
3,BAY,141,"EVERITT MIDDLE SCHOOL",127214,9078,136292,"0,9333930091274616",707,757
3,BAY,151,"HILAND PARK ELEMENTARY SC",136056,9190,145246,"0,9367280338184872",756,807
3,BAY,161,"JINKS MIDDLE SCHOOL",92627,9213,101840,"0,9095345640219953",515,566
3,BAY,171,"LYNN HAVEN ELEMENTARY SCH",128789,7577,136366,"0,9444362964375285",715,758
3,BAY,191,"OAKLAND TERRACE SCHL FOR",60021,5066,65087,"0,9221657166561679",333,362
3,BAY,201,"SURFSIDE MIDDLE SCHOOL",117736,8864,126600,"0,9299842022116903",654,703
3,BAY,211,"PARKER ELEMENTARY SCHOOL",100755,8436,109191,"0,9227408852377943",560,607
3,BAY,221,"SOUTHPORT ELEMENTARY SCHO",68876,4907,73783,"0,9334941653226353",383,410
3,BAY,231,"SPRINGFIELD ELEMENTARY SC",76956,7230,84186,"0,9141187370821752",428,468
3,BAY,241,"ST. ANDREW SCHOOL",22174,2231,24405,"0,9085843064945708",123,136
3,BAY,251,"WALLER ELEMENTARY SCHOOL",79606,7414,87020,"0,9148011951275569",442,483
3,BAY,281,"MARGARET K. LEWIS IN MILL",14747,2507,17254,"0,8547003593369653",82,96
3,BAY,291,"OSCAR PATTERSON ELEM MAGN",63059,5663,68722,"0,9175955298157795",350,382
3,BAY,331,"MOWAT MIDDLE SCHOOL",167195,10918,178113,"0,9387018353517149",929,990
3,BAY,341,"RUTHERFORD HIGH SCHOOL",199065,12702,211767,"0,9400189831276828",1106,1176
3,BAY,461,"DEER POINT ELEMENTARY SCH",102746,6599,109345,"0,9396497324980566",571,607
3,BAY,471,"NORTHSIDE ELEMENTARY SCHO",115265,7160,122425,"0,9415152133959567",640,680
3,BAY,491,"A. CRAWFORD MOSLEY HIGH S",276979,16752,293731,"0,9429682260299389",1539,1632
3,BAY,501,"TYNDALL ELEMENTARY SCHOOL",136456,7230,143686,"0,9496819453530615",758,798
3,BAY,511,"TOMMY SMITH ELEMENTARY SC",118504,8209,126713,"0,935215802640613",658,704
3,BAY,521,"PATRONIS ELEMENTARY SCHOO",128291,7920,136211,"0,9418549162696112",713,757
3,BAY,531,"NEW HORIZONS LEARNING CEN",13429,4336,17765,"0,7559245707852519",75,99
3,BAY,541,"DEANE BOZEMAN SCHOOL",191813,15280,207093,"0,9262167238873357",1066,1151
3,BAY,551,"J.R. ARNOLD HIGH SCHOOL",254805,18884,273689,"0,931001976696177",1416,1520
3,BAY,571,"BREAKFAST POINT ACADEMY",235964,16194,252158,"0,9357783611862404",1311,1401
3,BAY,581,"ROSENWALD HIGH SCHOOL",36178,13461,49639,"0,7288220955297247",201,276
3,BAY,591,"C C WASHINGTON ACADEMY",15240,4356,19596,"0,7777097366809553",85,109
3,BAY,602,"BAY REG.JUVENILE DETENTIO",3130,51,3181,"0,9839673058786546",17,18
3,BAY,604,"PANAMA CITY MARINE INSTIT",14190,1546,15736,"0,9017539400101677",79,87
3,BAY,701,"BAY HAVEN CHARTER ACADEMY",117336,4748,122084,"0,9611087447986633",652,678
3,BAY,711,"BAY HAVEN CHARTER MIDDLE",88107,3243,91350,"0,9644991789819376",489,508
3,BAY,731,"NORTH BAY HAVEN CHARTER A",55197,2217,57414,"0,961385724736127",307,319
3,BAY,741,"NORTH BAY HAVEN CAREER AC",90973,3962,94935,"0,9582661821246116",505,527
3,BAY,751,"NORTH BAY HAVEN CHARTER A",78765,3206,81971,"0,960888606946359",438,455
3,BAY,771,"NEWPOINT BAY CHARTER HIGH",17438,1132,18570,"0,939041464728056",97,103
3,BAY,781,"CHAUTAUQUA CHARTER SCHOOL",6403,1698,8101,"0,7903962473768671",36,45
3,BAY,791,"NEWPOINT MIDDLE SCHOOL",31394,1780,33174,"0,9463435220353289",174,184
3,BAY,2701,"RISING LEADERS ACADEMY",15498,678,16176,"0,9580860534124629",86,90
3,BAY,2711,"UNIVERSITY ACADEMY (SABL,",29471,1367,30838,"0,9556715740320384",164,171
3,BAY,7001,"BAY VIRTUAL INSTRUCTION P",6202,0,6202,1,34,34
3,BAY,7004,"BAY VIRTUAL FRANCHISE",15420,47,15467,"0,996961272386371",86,86
3,BAY,7006,"BAY VIRTUAL INSTRUCTION (",1944,14,1958,"0,992849846782431",11,11
3,BAY,9002,"EXCEPTIONAL STUDENT EDUCA",3574,0,3574,1,20,20
4,BRADFORD,21,"BRADFORD HIGH SCHOOL",132494,13091,145585,"0,9100800219802865",736,809
4,BRADFORD,51,"STARKE ELEMENTARY SCHOOL",83627,4461,88088,"0,9493574607210971",465,489
4,BRADFORD,81,"SOUTHSIDE ELEMENTARY SCHO",94562,8111,102673,"0,9210016265230392",525,570
4,BRADFORD,121,"RAINBOW CENTER",12615,622,13237,"0,9530105008687769",70,74
4,BRADFORD,131,"LAWTEY ELEMENTARY SCHOOL",36977,2580,39557,"0,9347776626134439",205,220
4,BRADFORD,161,"BROOKER ELEMENTARY SCHOOL",21738,1767,23505,"0,9248245054243778",121,131
4,BRADFORD,171,"BRADFORD-UNION TECHNICAL",1658,327,1985,"0,8352644836272041",9,11
4,BRADFORD,172,"BRADFORD MIDDLE SCHOOL",114834,9463,124297,"0,9238678326910544",638,691
4,BRADFORD,181,"HAMPTON ELEMENTARY SCHOOL",28215,1461,29676,"0,9507682976142338",157,165
4,BRADFORD,201,"BRADFORD INTERVENTION CEN",2508,555,3063,"0,8188050930460333",14,17
4,BRADFORD,7004,"BRADFORD VIRTUAL FRANCHIS",*,*,*,*,*,*
