"COURSE ENROLLMENTS BY DISTRICT",,,,
"2015-16 SURVEY 3  AS OF 03/13/16",,,,
" ",,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME","COURSE ENROLLMENT"
01,ALACHUA,MAC1105,"COLLEGE ALGEBRA",89
01,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",22
01,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",46
01,ALACHUA,MAC1147,"PRECALCULUS ALGEBRA AND TRIGON",4
01,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",5
01,ALACHUA,MAC2311,"CALCULUS I",8
01,ALACHUA,MAC2312,"CALCULUS II",7
01,ALACHUA,MAC2313,"CALCULUS III",1
01,ALACHUA,MAN2021,"PRINCIPLES OF MANAGEMENT",4
01,ALACHUA,MAP2302,"ORDINARY DIFFERENTIAL EQUATION",1
01,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",18
01,ALACHUA,MCBL000,"MICROBIOLOGY LABORATORY",4
01,ALACHUA,MCBL010,"MICROBIOLOGY LAB",1
01,ALACHUA,MCB2000,"MICROBIOLOGY FOR NURSING AND O",4
01,ALACHUA,MCB2010,MICROBIOLOGY,1
01,ALACHUA,MET2010,"INTRODUCTORY METEOROLOGY",1
01,ALACHUA,MGF1106,"MATHEMATICS FOR LIBERAL ARTS I",12
01,ALACHUA,MGF1107,"MATHEMATICS FOR LIBERAL ARTS",5
01,ALACHUA,MMC2100,"WRITING FOR THE MASS MEDIA",1
01,ALACHUA,MUH2019,"AMERICAN POPULAR MUSIC",11
01,ALACHUA,MUH2501,"NONWESTERN MUSIC",1
01,ALACHUA,MUL1010,"INTRODUCTION TO MUSIC",11
01,ALACHUA,MUN1030,"MUSIC ENSEMBLES",2
01,ALACHUA,MUN1120,"LANCER SYMPHONIC WIND ENSEMBLE",1
01,ALACHUA,MUN1340,"CONTEMPORARY ENSEMBLE",3
01,ALACHUA,MUN2011,"MUSIC ENSEMBLES",1
01,ALACHUA,MUN2930,"SPECIAL TOPICS",2
01,ALACHUA,MUT1001,"FUNDAMENTALS OF MUSIC",12
01,ALACHUA,MVK1112,"CLASS PIANO",1
01,ALACHUA,MVK1411,"PIANO I",1
01,ALACHUA,MVP1111,"AFRICAN/AFRO-CARIBBEAN HAND DR",3
01,ALACHUA,MVP1411,"APPLIED MUSIC-PERCUSSION",1
01,ALACHUA,MVS1116,"GUITAR SKILLS",3
01,ALACHUA,MVV1111,"VOICE CLASS II",1
01,ALACHUA,MVV1211,"APPL VOICE-SECONDARY FRESH VOI",3
01,ALACHUA,OCE1001,"INTRODUCTION TO OCEANOGRAPHY",2
01,ALACHUA,PGYC401,"PHOTOGRAPHY I",3
01,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY",4
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",12
01,ALACHUA,PHI2600,ETHICS,11
01,ALACHUA,PHI2635,"BIOMEDICAL ETHICS",6
01,ALACHUA,PHI2930,"SPECIAL TOPICS",1
01,ALACHUA,PHYL004,"APPLIED PHYSICS I LABATORY II",2
01,ALACHUA,PHYL005,"PHYSICS WITH APPLICATIONS LAB",2
01,ALACHUA,PHYL048,"PHYSICS LABORATORY I",2
01,ALACHUA,PHYL053,"GENERAL PHYSICS I LAB",1
01,ALACHUA,PHYL054,"PHYSICS (WITHOUT CALCULUS) 2 L",1
01,ALACHUA,PHY2004,"APPLIED PHYSICS 1",2
01,ALACHUA,PHY2005,"APPLIED PHYSICS 2",2
01,ALACHUA,PHY2048,"HONORS GENERAL PHYSICS I",2
01,ALACHUA,PHY2053,"COLLEGE PHYSICS I",1
01,ALACHUA,PHY2054,"PHYSICS (WITHOUT CALCULUS) 2",1
01,ALACHUA,POR1121,"BEGINNING PORTUGUESE II",1
01,ALACHUA,POS2041,"AMERICAN GOVERNMENT",32
01,ALACHUA,PPE2001,"PERSONALITY THEORIES OF PSYCHO",1
01,ALACHUA,PSCL121,"GENERAL PHYSICAL SCIENCE LAB",13
01,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",13
01,ALACHUA,PSY2012,PSYCHOLOGY,54
01,ALACHUA,REA2205,"ADVANCED COLLEGE READING",1
01,ALACHUA,REL2000,"INTRODUCTION TO RELIGION",12
01,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",1
01,ALACHUA,REL2300,"WORLD RELIGIONS",1
01,ALACHUA,SLS1101,"COLLEGE SUCCESS",14
01,ALACHUA,SLS1260,"BASIC LEADERSHIP SKILLS",1
01,ALACHUA,SLS1301,"EDUCATION & CAREER PLANNING",10
01,ALACHUA,SLS1601,"EFFECTIVE LIVING IN TODAY'S WO",5
01,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",2
01,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",29
01,ALACHUA,SPN1120,"BEGINNING SPANISH I",5
01,ALACHUA,SPN1121,"BEGINNING SPANISH II",18
01,ALACHUA,SPN1125,"SPANISH 3",4
01,ALACHUA,STA2023,"HONORS STATISTICAL METHODS I",25
01,ALACHUA,SYG2000,"INTRODUCTION TO SOCIOLOGY",8
01,ALACHUA,SYG2010,"SOCIAL PROBLEMS",5
01,ALACHUA,SYG2323,"INTRODUCTION TO CRIMINOLOGY",1
01,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",23
01,ALACHUA,THE1000,"INTRODUCTION TO THE THEATER",2
01,ALACHUA,THE2300,"DRAMATIC LITERATURE",2
01,ALACHUA,TPA1200,"INTRODUCTION TO PRODUCTION/DES",1
01,ALACHUA,TPA1248,"STAGE MAKEUP",6
01,ALACHUA,TPP1100,"ACTING I",8
01,ALACHUA,TPP1110,"ACTING I",1
01,ALACHUA,TPP2260,"ACTING FOR THE CAMERA 1",1
01,ALACHUA,WOH2022,"HISTORY OF CIVILIZATION II",1
01,ALACHUA,WOH2040,"THE WORLD IN THE TWENTIETH CEN",1
01,ALACHUA,ZOOC503,"ANIMAL BEHAVIOR & ECOLOGY",6
01,ALACHUA,0100310,"INTRO TO ART HIST",2
01,ALACHUA,0100320,"ART IN WRLD CULTURES",3
01,ALACHUA,0101010,"M/J 2-D STUDIO ART 1",184
01,ALACHUA,0101020,"M/J 2-D STUDIO ART 2",145
01,ALACHUA,0101026,"M/J 2D STUDIO ART 3",70
01,ALACHUA,0101300,"2-D STUDIO ART 1",290
01,ALACHUA,0101310,"2-D STUDIO ART 2",226
01,ALACHUA,0101320,"2-D STUDIO ART 3 HON",21
01,ALACHUA,0101330,"3-D STUDIO ART 1",4
01,ALACHUA,0101340,"3-D STUDIO ART 2",1
01,ALACHUA,0102300,"CERAM/POT 1",199
01,ALACHUA,0102310,"CERAM/POT 2",44
01,ALACHUA,0102320,"CERAM/POT 3 HON",6
01,ALACHUA,0104300,"AP ART/DRAW PORT",4
01,ALACHUA,0104340,"DRAW 1",87
01,ALACHUA,0104350,"DRAW 2",7
01,ALACHUA,0104360,"DRAW 3 HON",11
01,ALACHUA,0104380,"PAINT 2",69
01,ALACHUA,0107440,"VISUAL TECH 1",6
01,ALACHUA,0108310,"CREATIVE PHOTO 1",59
01,ALACHUA,0108320,"CREATIVE PHOTO 2",1
01,ALACHUA,0108370,"DIGITAL ART IMG 1",20
01,ALACHUA,0108380,"DIGITAL ART IMG 2",9
01,ALACHUA,0108390,"DIGITAL ART IMG 3 H",6
01,ALACHUA,0109310,"PORT DEV: DRAW HON",7
01,ALACHUA,0109320,"PORT DEV: 2D DES HON",2
01,ALACHUA,0109350,"AP STUDIO/2-D",91
01,ALACHUA,0114860,"IB ART A-2",14
01,ALACHUA,0114870,"IB ART A-3",8
01,ALACHUA,0200320,"AP CPTR SCI A",73
01,ALACHUA,0300310,"DANCE TECNQS 1",10
01,ALACHUA,0300320,"DANCE TECHNQS 2",1
01,ALACHUA,0300334,"DANCE TECHNQS 4 HON",3
01,ALACHUA,0400300,"INTROD DRAMA",9
01,ALACHUA,0400310,"THEATRE 1",232
01,ALACHUA,0400320,"THEATRE 2",22
01,ALACHUA,0400330,"THEATRE 3 HON",41
01,ALACHUA,0400340,"THEATRE 4 HON",21
01,ALACHUA,0400370,"ACTING 1",87
