"COURSE ENROLLMENTS",,,,
"2013-14 SURVEY 2 FINAL DATA ",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,PCB2610,"GENERAL GENETICS AND EVOLUTION",1
01,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY FOR DESIGN",5
01,ALACHUA,PHI1100,LOGIC,3
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",6
01,ALACHUA,PHI2600,ETHICS,6
01,ALACHUA,PHI2635,"HEALTH CARE ETHICS APPLIED",2
01,ALACHUA,PHYL004,"APPLIED PHYSICS I LABATORY II",4
01,ALACHUA,PHYL048,"PHYSICS LABORATORY I",1
01,ALACHUA,PHY2004,"APPLIED PHYSICS 1",4
01,ALACHUA,PHY2048,"HONORS GENERAL PHYSICS I",1
01,ALACHUA,POS2041,"AMERICAN GOVERNMENT",56
01,ALACHUA,PSCL121,"GENERAL PHYSICAL SCIENCE LAB",22
01,ALACHUA,PSC1341,"PHYSICAL SCIENCE",3
01,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",22
01,ALACHUA,PSY2012,"GENERAL PSYCHOLOGY",52
01,ALACHUA,REA2205,"ADVANCED COLLEGE READING",5
01,ALACHUA,REL2000,"INTRODUCTION TO RELIGION",9
01,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",1
01,ALACHUA,REL2300,"HONORS COMPARATIVE RELIGIONS",5
01,ALACHUA,SLS1101,ORIENTATION,33
01,ALACHUA,SLS1260,"BASIC LEADERSHIP SKILLS",1
01,ALACHUA,SLS1301,"EDUCATION & CAREER PLANNING",20
01,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",7
01,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",34
01,ALACHUA,SPN1120,"FIRST-YEAR SPANISH I",25
01,ALACHUA,SPN1121,"ELEMENTARY SPANISH II",7
01,ALACHUA,STA2023,"HONORS INTRODUCTORY STATISTICS",14
01,ALACHUA,SYG2000,SOCIOLOGY,6
01,ALACHUA,SYG2010,"HONORS SOCIAL PROBLEMS",12
01,ALACHUA,SYG2323,"INTRODUCTION TO CRIMINOLOGY",1
01,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",34
01,ALACHUA,THE1000,"INTRODUCTION TO THEATRE",1
01,ALACHUA,TPA1200,"INTRO TO PRODUCTION/DESIGN",1
01,ALACHUA,TPA1248,"STAGE MAKEUP",2
01,ALACHUA,TPP1100,"STAGE ACTING",12
01,ALACHUA,TPP1110,"ACTING I",1
01,ALACHUA,WOH2040,"THE TWENTIETH CENTURY",1
01,ALACHUA,ZOOC503,"ANIMAL BEHAVIOR & ECOLOGY",2
01,ALACHUA,101005,"M/J EXPLORING 2D ART",12
01,ALACHUA,101010,"M/J 2-D STUDIO ART 1",88
01,ALACHUA,101020,"M/J 2-D STUDIO ART 2",137
01,ALACHUA,101026,"M/J 2D STUDIO ART 3",110
01,ALACHUA,101300,"2-D STUDIO ART 1",406
01,ALACHUA,101310,"2-D STUDIO ART 2",86
01,ALACHUA,101320,"2-D STUDIO ART 3 HON",60
01,ALACHUA,101330,"3-D STUDIO ART 1",3
01,ALACHUA,101340,"3-D STUDIO ART 2",1
01,ALACHUA,102300,"CERAM/POT 1",161
01,ALACHUA,102310,"CERAM/POT 2",34
01,ALACHUA,103000,"M/J DIG ART & DES 1",18
01,ALACHUA,104300,"AP ART/DRAW PORT",3
01,ALACHUA,104340,"DRAW 1",81
01,ALACHUA,104350,"DRAW 2",2
01,ALACHUA,104370,"PAINT 1",64
01,ALACHUA,107440,"VISUAL TECH 1",9
01,ALACHUA,107450,"VISUAL TECH 2",3
01,ALACHUA,108310,"CREATIVE PHOTO 1",21
01,ALACHUA,108370,"DIGITAL ART IMG 1",5
01,ALACHUA,108390,"DIGITAL ART IMG 3 H",8
01,ALACHUA,109310,"PORT DEV: DRAW HON",36
01,ALACHUA,109350,"AP STUDIO/2-D",53
01,ALACHUA,114840,"IB ART STUDIO 1-A/DE",20
