"Course Enrollments",,,,
"2013-14 Survey 3 Data Final, as of 8/08/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #",COURSE,ENROLLMENT
01,ALACHUA,1008080,"M/J READ 3 ADV",330
01,ALACHUA,1008300,"READ 1",17
01,ALACHUA,1008310,"READ 2",9
01,ALACHUA,1009320,"CREATIVE WRIT 1",73
01,ALACHUA,1100220,"M/J LIBR/MEDIA TRAN",10
01,ALACHUA,1200300,"BASIC MATH SKLS",24
01,ALACHUA,1200310,"ALG 1",1111
01,ALACHUA,1200320,"ALG 1 HON",1074
01,ALACHUA,1200330,"ALG 2",1087
01,ALACHUA,1200340,"ALG 2 HON",793
01,ALACHUA,1200380,"ALG 1-B",47
01,ALACHUA,1200400,"INTENS MATH",173
01,ALACHUA,1200500,"ADV ALG W/FIN APP",128
01,ALACHUA,1200700,"Math Coll. Readiness",429
01,ALACHUA,1202300,"CALCULUS HON",22
01,ALACHUA,1202310,"AP CALCULUS AB",179
01,ALACHUA,1202320,"AP CALCULUS BC",100
01,ALACHUA,1202340,"PRE-CALCULUS HON",544
01,ALACHUA,1202352,"AICE MATH 1 AS",63
01,ALACHUA,1202375,"IB PRE-CALCULUS",135
01,ALACHUA,1202800,"IB CALCULUS",23
01,ALACHUA,1204000,"M/J INTENS MATH (MC)",5
01,ALACHUA,1205010,"M/J MATH 1",1002
01,ALACHUA,1205020,"M/J MATH 1 ADV",775
01,ALACHUA,1205040,"M/J MATH 2",1041
01,ALACHUA,1205050,"M/J MATH 2, ADV",724
01,ALACHUA,1205070,"M/J PRE-ALG",995
01,ALACHUA,1205080,"M/J PRE-ALG ADV",531
01,ALACHUA,1205370,"CONSUMER MATH",33
01,ALACHUA,1205500,"EXPLORS IN MATH 1",1
01,ALACHUA,1205510,"EXPLORS IN MATH 2",1
01,ALACHUA,1206310,GEO,1099
01,ALACHUA,1206320,"GEO HON",793
01,ALACHUA,1208300,"LIB ARTS MATH 2",129
01,ALACHUA,1209800,"IB MATH STUDIES",19
01,ALACHUA,1210300,"PROB, STAT W/APPLS H",60
01,ALACHUA,1210320,"AP STAT",124
01,ALACHUA,1300330,"AP MUS THEORY",12
01,ALACHUA,1300340,"MUSIC WORLD",25
01,ALACHUA,1300800,"FL PRE-IB MUSIC 1",32
01,ALACHUA,1300820,"IB MUSIC 3",15
01,ALACHUA,1300830,"IB MUSIC 4",8
01,ALACHUA,1301030,"M/J KEYBD 1",7
01,ALACHUA,1301040,"M/J KEYBD 2",1
01,ALACHUA,1301050,"M/J KEYBD 3",9
01,ALACHUA,1301090,"M/J EXPL MUSIC 1",14
01,ALACHUA,1301320,"GUITAR 1",80
01,ALACHUA,1301330,"GUITAR 2",7
01,ALACHUA,1301360,"KEYBD 1",112
01,ALACHUA,1301370,"KEYBD 2",11
01,ALACHUA,1302000,"M/J BAND 1",541
01,ALACHUA,1302010,"M/J BAND 2",321
01,ALACHUA,1302020,"M/J BAND 3",373
01,ALACHUA,1302040,"M/J ORCH 1",38
01,ALACHUA,1302300,"BAND 1",69
01,ALACHUA,1302310,"BAND 2",55
01,ALACHUA,1302320,"BAND 3",75
01,ALACHUA,1302330,"BAND 4",52
01,ALACHUA,1302340,"BAND 5 HON",2
01,ALACHUA,1302380,"ORCH 3",5
01,ALACHUA,1302390,"ORCH 4",4
01,ALACHUA,1302460,"INSTRU ENS 1",12
01,ALACHUA,1302470,"INSTRU ENS 2",11
01,ALACHUA,1302480,"INSTRU ENS 3",7
01,ALACHUA,1302490,"INSTRU ENS 4 HON",1
01,ALACHUA,1302500,"JAZZ ENS 1",13
01,ALACHUA,1302510,"JAZZ ENS 2",5
01,ALACHUA,1302520,"JAZZ ENS 3",1
01,ALACHUA,1303000,"M/J CHORUS 1",108
01,ALACHUA,1303300,"CHORUS 1",78
01,ALACHUA,1303310,"CHORUS 2",15
01,ALACHUA,1303320,"CHORUS 3",3
01,ALACHUA,1303330,"CHORUS 4",1
01,ALACHUA,1303440,"VOCAL ENS 1",11
01,ALACHUA,1303450,"VOCAL ENS 2",6
01,ALACHUA,1305300,"EURHY 1",4
01,ALACHUA,1305310,"EURHY 2",4
01,ALACHUA,1305320,"EURHY 3",2
01,ALACHUA,1400000,"M/J PEER COUN 1",16
01,ALACHUA,1400010,"M/J PEER COUN 2",7
01,ALACHUA,1400300,"PEER COUN 1",195
01,ALACHUA,1400310,"PEER COUN 2",198
01,ALACHUA,1400320,"PEER COUN 3",3
01,ALACHUA,1400330,"PEER COUN 4",25
01,ALACHUA,1500000,"M/J ADAP PE IEP/504",11
01,ALACHUA,1501300,"PERS FIT",128
01,ALACHUA,1501310,"FIT LIFST DESIGN",13
