"COURSE ENROLLMENTS",,,,
"2012-13 SURVEY 3 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
1,ALACHUA,MAC1105,"COLLEGE ALGEBRA",131
1,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",20
1,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",29
1,ALACHUA,MAC1147,PRECALCULUS,2
1,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",3
1,ALACHUA,MAC2311,"CALCULUS I",4
1,ALACHUA,MAC2312,"CALCULUS II",5
1,ALACHUA,MAN2021,"PRINCIPLES OF MANAGEMENT",3
1,ALACHUA,2011/03/01,MARKETING,1
1,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",19
1,ALACHUA,MCBL000,"MICROBIOLOGY LAB",2
1,ALACHUA,MCB2000,"MICROBIOLOGY FOR NURSING AND O",2
1,ALACHUA,MGF1106,"FINITE MATHEMATICS",21
1,ALACHUA,MGF1107,"MATHEMATICS FOR LIBERAL ARTS",1
1,ALACHUA,MMC1000,"SURVEY OF COMMUNICATIONS",1
1,ALACHUA,MMC2100,"WRITING FOR THE MASS MEDIA",1
1,ALACHUA,MTB1103,"BUSINESS MATHEMATICS",1
1,ALACHUA,MUH2019,"HISTORY OF POPULAR MUSIC IN TH",5
1,ALACHUA,MUH2501,"WORLD MUSIC",2
1,ALACHUA,MUL1010,"MUSIC APPRECIATION",13
1,ALACHUA,MUN1030,"MUSIC ENSEMBLES",1
1,ALACHUA,MUN1120,"CONCERT BAND I",2
1,ALACHUA,MUN1340,"CONTEMPORARY ENSEMBLE",3
1,ALACHUA,MUN1710,"JAZZ BAND",2
1,ALACHUA,MUN2011,"PERFORMANCE LABORATORY",1
1,ALACHUA,MUT1001,"FUNDAMENTALS OF MUSIC THEORY",9
1,ALACHUA,MUT1121,"MUSIC THEORY I",2
1,ALACHUA,MUT1122,"MUSIC THEORY II",1
1,ALACHUA,MUT1271,"APPLIED THEORY SKILLS 1",2
1,ALACHUA,MUT1272,"FRESHMAN THEORY II LABORATORY",1
1,ALACHUA,MUT2116,"THEORY III",1
1,ALACHUA,MUT2246,"APPLIED THEORY SKILLS 3",1
1,ALACHUA,MVK1111,"CLASS PIANO I",3
1,ALACHUA,MVK1211,"APPLIED MUSIC SECONDARY-PIANO",1
1,ALACHUA,MVS1116,"GUITAR SKILLS",3
1,ALACHUA,MVV1111,"CLASS VOICE",2
1,ALACHUA,MVV1311,"APPLIED MUSIC - VOICE - FRESHM",1
1,ALACHUA,OCE1001,"INTRODUCTION TO OCEANOGRAPHY",1
1,ALACHUA,PGYC750,"CREATIVE VIDEOMAKING",1
1,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY FOR DESIGN",5
1,ALACHUA,PGYC802,"DIGITAL PHOTOGRAPHY",1
1,ALACHUA,PHI1100,LOGIC,4
1,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",7
1,ALACHUA,PHI2600,ETHICS,17
1,ALACHUA,PHI2635,"INTRODUCTION TO ETHICS",2
1,ALACHUA,PHYL004,"LAB FOR PHYSICS 2004 AND 2005",1
1,ALACHUA,PHY2004,"APPLIED PHYSICS I",1
1,ALACHUA,PMT0106,"INTRODUCTION & OXY-ACETYLENE W",1
1,ALACHUA,POS2041,"AMERICAN GOVERNMENT",57
1,ALACHUA,PPE2001,"PSYCHOLOGY OF PERSONALITY",6
1,ALACHUA,PSCL121,"GENERAL PHYSICAL SCIENCE LAB",12
1,ALACHUA,PSC1341,"PHYSICAL SCIENCE FOR TODAY'S W",3
1,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",12
1,ALACHUA,PSY2012,"GENERAL PSYCHOLOGY",39
1,ALACHUA,REA2205,"ADVANCED COLLEGE READING",21
1,ALACHUA,REL2000,"INTRODUCTION TO RELIGION",5
