"Student Average Daily Attendance/Average Daily Membership Report by School
2015-16, Final Survey 5",,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,,,,,,,,
DISTRICT,"DISTRICT NAME","School #","School Name","DAYS PRESENT","DAYS ABSENT","TOTAL DAYS","% PRESENT","AVERAGE DAILY ATTENDANCE","AVERAGE DAILY MEMBERSHIP","SUMMER DAYS PRESENT","SUMMER DAYS ABSENT","TOTAL SUMMER DAYS ","% SUMMER DAYS PRESENT"
6,BROWARD,5561,"UCP EARLY BEGINNINGS",3885,627,4512,"0,86103723404",22,25,681,62,743,"0,91655450874"
6,BROWARD,5581,"ALPHABET LAND-MARGATE",3868,243,4111,"0,94089029433",21,23,0,0,0,
6,BROWARD,5602,"BABY BOOMERS",*,*,*,*,*,*,0,0,0,
6,BROWARD,5710,"RENAISSANCE CHARTER SCHOOLS AT PINES",157695,4196,161891,"0,97408132632",876,899,0,0,0,
6,BROWARD,5717,"SOUTH BROWARD MONTESSORI CHARTER SCHOOL",21056,1265,22321,"0,94332691187",117,124,0,0,0,
6,BROWARD,5791,"AVANT GARDE ACADEMY OF BROWARD",27482,1018,28500,"0,96428070175",153,158,0,0,0,
6,BROWARD,5801,"PANACEA PREP CHARTER SCHOOL",22958,1019,23977,"0,95750093839",128,133,0,0,0,
6,BROWARD,5852,"NEW LIFE CHARTER ACADEMY",16754,924,17678,"0,94773164385",93,98,0,0,0,
6,BROWARD,5861,"SUNED HIGH SCHOOL OF NORTH BROWARD",25623,26291,51914,"0,49356628269",142,288,*,*,*,*
6,BROWARD,6011,"BROWARD DETENTION CENTER",12570,38,12608,"0,9969860406",70,70,0,0,0,
6,BROWARD,6015,"BROWARD GIRLS ACADEMY",4301,0,4301,1,24,24,0,0,0,
6,BROWARD,6016,"POMPANO SUBSTANCE ABUSE TREATMENT",4250,0,4250,1,24,24,0,0,0,
6,BROWARD,6017,"BROWARD YOUTH TREATMENT CENTER",4879,0,4879,1,27,27,0,0,0,
6,BROWARD,6051,"AMIKIDS OF GREATER FORT LAUDERDALE",9800,26,9826,"0,99735395888",54,55,0,0,0,
6,BROWARD,6091,"PACE CENTER FOR GIRLS, INC.",17825,72,17897,"0,99597697938",99,99,0,0,0,
6,BROWARD,6501,"OFF CAMPUS LEARNING",143275,91479,234754,"0,61031973896",796,1304,66,0,66,1
6,BROWARD,7001,"BROWARD VIRTUAL INSTRUCTION PROGRAM",4952,0,4952,1,28,28,0,0,0,
6,BROWARD,7004,"BROWARD VIRTUAL FRANCHISE",50119,58,50177,"0,99884409191",278,279,0,0,0,
7,CALHOUN,21,"BLOUNTSTOWN HIGH SCHOOL",66935,8226,75161,"0,89055494205",372,418,0,0,0,
7,CALHOUN,51,"BLOUNTSTOWN MIDDLE SCHOOL",42613,3554,46167,"0,92301860636",237,256,0,0,0,
7,CALHOUN,91,"CARR ELEMENTARY & MIDDLE SCHOOL",45712,3392,49104,"0,93092212447",254,273,0,0,0,
7,CALHOUN,101,"ALTHA PUBLIC SCHOOL",99101,9723,108824,"0,91065389987",551,605,0,0,0,
7,CALHOUN,131,"BLOUNTSTOWN ELEMENTARY SCHOOL",106377,9824,116201,"0,91545683772",591,646,1094,374,1468,"0,74523160762"
7,CALHOUN,7001,"CALHOUN VIRTUAL INSTRUCTION PROGRAM",*,*,*,*,*,*,0,0,0,
7,CALHOUN,7006,"CALHOUN VIRTUAL INSTRUCTION (COURSE OFFERINGS)",*,*,*,*,*,*,0,0,0,
7,CALHOUN,7023,"CALHOUN VIRTUAL  INSTRUCTION PROGRAM (DISTRICT PROVIDED)",5657,0,5657,1,31,31,0,0,0,
8,CHARLOTTE,21,"SALLIE JONES ELEMENTARY SCHOOL",108368,4332,112700,"0,96156166814",602,626,0,0,0,
8,CHARLOTTE,31,"CHARLOTTE HIGH SCHOOL",320418,19299,339717,"0,94319095011",1780,1887,0,0,0,
8,CHARLOTTE,41,"PEACE RIVER ELEMENTARY SCHOOL",118679,6937,125616,"0,94477614316",659,698,1873,57,1930,"0,97046632124"
8,CHARLOTTE,42,"CHARLOTTE HARBOR SCHOOL",22879,2948,25827,"0,88585588724",127,143,973,71,1044,"0,93199233716"
8,CHARLOTTE,51,"LEMON BAY HIGH SCHOOL",205773,11246,217019,"0,94817965247",1143,1206,0,0,0,
8,CHARLOTTE,62,"BAKER/HEAD START",28191,3615,31806,"0,88634219958",157,177,0,0,0,
8,CHARLOTTE,81,"EAST ELEMENTARY SCHOOL",122980,5907,128887,"0,95416915592",683,716,0,0,0,
8,CHARLOTTE,111,"NEIL ARMSTRONG ELEMENTARY SCHOOL",139732,6304,146036,"0,95683256183",776,811,0,0,0,
8,CHARLOTTE,121,"PUNTA GORDA MIDDLE SCHOOL",198979,9047,208026,"0,95651024391",1105,1156,0,0,0,
8,CHARLOTTE,131,"PORT CHARLOTTE MIDDLE SCHOOL",144102,9263,153365,"0,93960160401",801,852,0,0,0,
8,CHARLOTTE,141,"MEADOW PARK ELEMENTARY SCHOOL",128571,6221,134792,"0,95384740934",714,749,0,0,0,
8,CHARLOTTE,151,"PORT CHARLOTTE HIGH SCHOOL",272999,12455,285454,"0,95636775102",1517,1586,0,0,0,
8,CHARLOTTE,161,"CHARLOTTE TECHNICAL CENTER",52471,13276,65747,"0,79807443685",292,365,0,0,0,
8,CHARLOTTE,181,"L. A. AINGER MIDDLE SCHOOL",115926,5655,121581,"0,95348779825",644,675,0,0,0,
8,CHARLOTTE,191,"VINELAND ELEMENTARY SCHOOL",104435,4714,109149,"0,95681133129",580,606,0,0,0,
8,CHARLOTTE,201,"LIBERTY ELEMENTARY SCHOOL",102151,4729,106880,"0,95575411676",568,594,0,0,0,
8,CHARLOTTE,211,"MURDOCK MIDDLE SCHOOL",131235,6375,137610,"0,95367342489",729,765,0,0,0,
8,CHARLOTTE,231,"MYAKKA RIVER ELEMENTARY SCHOOL",94855,4520,99375,"0,95451572327",527,552,0,0,0,
8,CHARLOTTE,251,"DEEP CREEK ELEMENTARY SCHOOL",118096,4537,122633,"0,963003433",656,681,0,0,0,
8,CHARLOTTE,282,"AMI KIDS CROSSROADS",3634,76,3710,"0,97951482479",20,21,0,0,0,
8,CHARLOTTE,301,"KINGSWAY ELEMENTARY SCHOOL",109951,4637,114588,"0,95953328446",611,637,0,0,0,
8,CHARLOTTE,502,"FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL",56851,1587,58438,"0,9728430131",316,325,0,0,0,
8,CHARLOTTE,7004,"CHARLOTTE VIRTUAL FRANCHISE",19453,277,19730,"0,98596046629",108,110,0,0,0,
8,CHARLOTTE,9998,"HOME EDUCATION PROGRAM STUDENTS",8186,165,8351,"0,98024188719",45,46,0,0,0,
9,CITRUS,21,"PLEASANT GROVE ELEMENTARY SCHOOL",129012,6943,135955,"0,94893163178",717,755,668,216,884,"0,75565610859"
9,CITRUS,25,"FOREST RIDGE ELEMENTARY SCHOOL",123385,7697,131082,"0,94128103019",685,728,0,0,0,
9,CITRUS,31,"CITRUS HIGH SCHOOL",242881,20430,263311,"0,92241114119",1349,1463,874,0,874,1
9,CITRUS,32,"INVERNESS PRIMARY SCHOOL",112080,6585,118665,"0,94450764757",623,659,0,0,0,
9,CITRUS,35,"CENTRAL RIDGE ELEMENTARY SCHOOL",123255,6478,129733,"0,9500666754",685,721,760,212,972,"0,78189300411"
9,CITRUS,42,"INVERNESS MIDDLE SCHOOL",170325,12830,183155,"0,92995004231",946,1018,21,3,24,"0,875"
9,CITRUS,61,"FLORAL CITY ELEMENTARY SCHOOL",56046,3628,59674,"0,93920300298",311,332,0,0,0,
9,CITRUS,71,"HOMOSASSA ELEMENTARY SCHOOL",55013,3298,58311,"0,9434412032",306,324,0,0,0,
9,CITRUS,83,"CRYSTAL RIVER MIDDLE SCHOOL",124375,8672,133047,"0,934820026",691,739,0,0,0,
9,CITRUS,102,"CRYSTAL RIVER PRIMARY SCHOOL",105023,6337,111360,"0,94309446839",583,619,0,0,0,
9,CITRUS,121,"CRYSTAL RIVER HIGH SCHOOL",220688,19416,240104,"0,91913504148",1226,1334,1037,0,1037,1
9,CITRUS,161,"LECANTO PRIMARY SCHOOL",133317,7726,141043,"0,94522237899",741,784,1156,270,1426,"0,81065918653"
9,CITRUS,162,"LECANTO MIDDLE SCHOOL",124258,9263,133521,"0,9306251451",690,742,0,0,0,
9,CITRUS,163,"LECANTO HIGH SCHOOL",251951,20144,272095,"0,92596703357",1400,1512,1360,0,1360,1
9,CITRUS,171,"HERNANDO ELEMENTARY SCHOOL",119432,6726,126158,"0,9466859018",664,701,0,0,0,
9,CITRUS,181,"CITRUS SPRINGS ELEMENTARY SCHOOL",127530,6494,134024,"0,95154599176",709,745,0,0,0,
9,CITRUS,191,"ROCK CRUSHER ELEMENTARY SCHOOL",106778,5987,112765,"0,94690728506",593,626,0,0,0,
9,CITRUS,201,"CREST SCHOOL",18494,2815,21309,"0,86789619409",103,118,913,14,927,"0,98489751887"
9,CITRUS,211,"CITRUS SPRINGS MIDDLE SCHOOL",138289,8539,146828,"0,94184351758",768,816,18,3,21,"0,85714285714"
9,CITRUS,215,"ACADEMY OF ENVIRON. SCIENCES",18228,1441,19669,"0,92673750571",101,109,0,0,0,
9,CITRUS,216,"CITRUS MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES",19213,0,19213,1,107,107,0,0,0,
9,CITRUS,321,"CITRUS COUNTY RENAISSANCE CENTER",15506,4243,19749,"0,78515367866",86,110,0,0,0,
9,CITRUS,8001,"CYPRESS CREEK ACADEMY",21482,0,21482,1,119,119,0,0,0,
9,CITRUS,9998,"HOME EDUCATION PROGRAM STUDENTS",*,*,*,*,*,*,0,0,0,
9,CITRUS,9999,"OUT OF STATE/NON-PUBLIC SCHOOL",2178,0,2178,1,12,12,0,0,0,
10,CLAY,20,"FLORIDA YOUTH CHALLENGE ACADEMY",6308,0,6308,1,35,35,105,0,105,1
10,CLAY,21,"GREEN COVE SPRINGS JUNIOR HIGH SCHOOL",130454,7844,138298,"0,9432818985",725,768,0,0,0,
10,CLAY,71,"CHARLES E. BENNETT ELEMENTARY SCHOOL",138919,8562,147481,"0,9419450641",772,819,483,0,483,1
10,CLAY,111,"R. C. BANNERMAN LEARNING CENTER",25651,6071,31722,"0,80861862429",143,176,0,0,0,
10,CLAY,112,"PACE CENTER FOR GIRLS CLAY",5679,549,6228,"0,91184971098",32,35,1406,218,1624,"0,86576354679"
10,CLAY,113,"AMIKIDS CLAY COUNTY",2406,314,2720,"0,88455882352",13,15,906,189,1095,"0,82739726027"
10,CLAY,201,"ORANGE PARK ELEMENTARY SCHOOL",82830,3066,85896,"0,96430567197",460,477,0,0,0,
10,CLAY,232,"GROVE PARK ELEMENTARY SCHOOL",76604,4661,81265,"0,94264443487",426,451,124,0,124,1
10,CLAY,241,"W E CHERRY ELEMENTARY SCHOOL",108287,6445,114732,"0,94382561098",602,637,185,2,187,"0,98930481283"
10,CLAY,252,"ORANGE PARK HIGH SCHOOL",255762,22787,278549,"0,91819392638",1421,1547,0,0,0,
10,CLAY,261,"DOCTORS INLET ELEMENTARY SCHOOL",124307,6034,130341,"0,95370604798",691,724,609,0,609,1
10,CLAY,271,"MIDDLEBURG ELEMENTARY SCHOOL",98919,5216,104135,"0,94991117299",550,579,0,0,0,
10,CLAY,301,"KEYSTONE HEIGHTS ELEMENTARY",146119,9528,155647,"0,93878455736",812,865,261,0,261,1
10,CLAY,311,"KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH",194868,15289,210157,"0,92724962765",1083,1168,73,0,73,1
10,CLAY,331,"S BRYAN JENNINGS ELEMENTARY SCHOOL",84238,3902,88140,"0,95572952121",468,490,0,0,0,
10,CLAY,341,"CLAY HIGH SCHOOL",235081,21759,256840,"0,91528188755",1306,1427,144,0,144,1
10,CLAY,351,"LAKESIDE JUNIOR HIGH SCHOOL",150130,8919,159049,"0,94392294198",834,884,0,0,0,
10,CLAY,352,"LAKESIDE ELEMENTARY SCHOOL",139238,6573,145811,"0,95492109648",774,810,349,0,349,1
10,CLAY,361,"ORANGE PARK JUNIOR HIGH SCHOOL",106681,6958,113639,"0,93877102051",593,631,0,0,0,
10,CLAY,371,"WILKINSON JUNIOR HIGH SCHOOL",121964,10226,132190,"0,92264165216",678,734,0,0,0,
10,CLAY,381,"MONTCLAIR ELEMENTARY SCHOOL",86538,3881,90419,"0,95707760537",481,502,378,0,378,1
10,CLAY,391,"MIDDLEBURG HIGH SCHOOL",281904,22533,304437,"0,92598468648",1566,1691,0,0,0,
10,CLAY,401,"RIDGEVIEW ELEMENTARY SCHOOL",95121,6529,101650,"0,93576979832",528,565,399,0,399,1
10,CLAY,411,"CLAY HILL ELEMENTARY SCHOOL",72708,4787,77495,"0,93822827279",404,431,0,0,0,
10,CLAY,431,"RIDGEVIEW HIGH SCHOOL",269527,19485,289012,"0,93258065409",1497,1606,382,0,382,1
10,CLAY,451,"LAKE ASBURY ELEMENTARY SCHOOL",144555,7535,152090,"0,95045696626",803,845,0,0,0,
10,CLAY,471,"ROBERT M. PATERSON ELEMENTARY",161879,6918,168797,"0,95901585928",899,938,231,0,231,1
10,CLAY,481,"LAKE ASBURY JUNIOR HIGH SCHOOL",183687,11333,195020,"0,94188801148",1020,1083,490,0,490,1
10,CLAY,491,"J.L. WILKINSON ELEMENTARY SCHOOL",125006,7484,132490,"0,94351271794",694,736,651,0,651,1
10,CLAY,501,"TYNES ELEMENTARY SCHOOL",152859,7629,160488,"0,9524637356",849,892,0,0,0,
10,CLAY,511,"MCRAE ELEMENTARY SCHOOL",82363,6091,88454,"0,93113934926",458,491,0,0,0,
10,CLAY,521,"FLEMING ISLAND ELEMENTARY SCHOOL",130751,5594,136345,"0,95897172613",726,757,0,0,0,
10,CLAY,531,"THUNDERBOLT ELEMENTARY SCHOOL",170650,6672,177322,"0,96237353515",948,985,0,0,0,
10,CLAY,541,"RIDEOUT ELEMENTARY SCHOOL",80263,3562,83825,"0,9575067104",446,466,0,0,0,
10,CLAY,551,"FLEMING ISLAND HIGH SCHOOL",375899,24184,400083,"0,93955254284",2088,2223,308,0,308,1
10,CLAY,571,"SWIMMING PEN CREEK ELEMENTARY SCHOOL",65855,3126,68981,"0,95468317362",366,383,438,0,438,1
10,CLAY,591,"ARGYLE ELEMENTARY SCHOOL",104497,4242,108739,"0,96098915752",581,604,396,0,396,1
10,CLAY,601,"COPPERGATE ELEMENTARY SCHOOL",85824,4106,89930,"0,9543422662",477,500,0,0,0,
10,CLAY,611,"OAKLEAF JUNIOR HIGH",255809,11406,267215,"0,95731527047",1421,1485,859,0,859,1
10,CLAY,621,"OAKLEAF VILLAGE ELEMENTARY SCHOOL",158891,6271,165162,"0,96203121783",883,918,1386,0,1386,1
10,CLAY,631,"SHADOWLAWN ELEMENTARY SCHOOL",121934,6575,128509,"0,94883626827",677,714,315,0,315,1
10,CLAY,651,"PLANTATION OAKS ELEMENTARY SCHOOL",223303,9305,232608,"0,95999707662",1241,1292,0,0,0,
10,CLAY,661,"OAKLEAF HIGH SCHOOL",385491,26752,412243,"0,93510623588",2142,2290,0,0,0,
10,CLAY,662,"ORANGE PARK PERFORMING ARTS ACADEMY (OPPAA)",37961,2511,40472,"0,93795710614",211,225,0,0,0,
10,CLAY,663,"FLORIDA VIRTUAL ACADEMY AT CLAY",2456,1555,4011,"0,61231613064",14,22,0,0,0,
10,CLAY,664,"CLAY CHARTER ACADEMY",72090,4159,76249,"0,94545502236",401,424,0,0,0,
10,CLAY,4050,"LIGHTHOUSE LEARNING CENTER",9731,578,10309,"0,94393248617",54,57,87,0,87,1
10,CLAY,7001,"CLAY VIRTUAL INSTRUCTION PROGRAM",1719,3,1722,"0,99825783972",10,10,0,0,0,
10,CLAY,7004,"CLAY VIRTUAL FRANCHISE",43262,380,43642,"0,99129279134",240,242,0,0,0,
10,CLAY,7006,"CLAY VIRTUAL INSTRUCTION (COURSE OFFERINGS)",12683,1097,13780,"0,92039187227",70,77,0,0,0,
10,CLAY,9998,"HOME EDUCATION PROGRAM STUDENTS",17712,104,17816,"0,99416255051",98,99,0,0,0,
11,COLLIER,51,"EVERGLADES CITY SCHOOL",33825,2215,36040,"0,93854051054",188,200,0,0,0,
11,COLLIER,61,"GULFVIEW MIDDLE SCHOOL",117970,4606,122576,"0,96242331288",655,681,0,0,0,
11,COLLIER,121,"LAKE PARK ELEMENTARY SCHOOL",89553,3546,93099,"0,96191151355",498,517,0,0,0,
11,COLLIER,131,"TOMMIE BARFIELD ELEMENTARY SCHOOL",97338,4154,101492,"0,95907066566",541,564,0,0,0,
11,COLLIER,141,"SHADOWLAWN ELEMENTARY SCHOOL",97779,4162,101941,"0,9591724625",543,566,0,0,0,
11,COLLIER,151,"NAPLES HIGH SCHOOL",286562,14285,300847,"0,95251739256",1592,1671,0,0,0,
11,COLLIER,161,"PINECREST ELEMENTARY SCHOOL",128414,4170,132584,"0,96854824111",713,737,0,0,0,
11,COLLIER,171,"SEA GATE ELEMENTARY SCHOOL",129887,4627,134514,"0,96560209346",722,747,0,0,0,
11,COLLIER,181,"HIGHLANDS ELEMENTARY SCHOOL",131104,4995,136099,"0,96329877515",728,756,0,0,0,
11,COLLIER,191,"LAKE TRAFFORD ELEMENTARY SCHOOL",122681,6443,129124,"0,95010222731",682,717,6778,963,7741,"0,87559746802"
11,COLLIER,201,"AVALON ELEMENTARY SCHOOL",95459,4306,99765,"0,95683857064",530,554,0,0,0,
11,COLLIER,211,"EAST NAPLES MIDDLE SCHOOL",193535,6863,200398,"0,96575315122",1075,1113,0,0,0,
11,COLLIER,221,"POINCIANA ELEMENTARY SCHOOL",116845,5783,122628,"0,95284111295",649,681,6731,586,7317,"0,91991253245"
11,COLLIER,231,"GOLDEN GATE ELEMENTARY SCHOOL",166656,6257,172913,"0,96381417244",926,961,0,0,0,
11,COLLIER,241,"NAPLES PARK ELEMENTARY SCHOOL",91352,3766,95118,"0,96040707331",508,528,0,0,0,
11,COLLIER,251,"PINE RIDGE MIDDLE SCHOOL",175421,6087,181508,"0,96646428807",975,1008,0,0,0,
11,COLLIER,261,"LELY HIGH SCHOOL",265129,12206,277335,"0,95598824526",1473,1541,0,0,0,
11,COLLIER,271,"IMMOKALEE HIGH SCHOOL",263584,14260,277844,"0,94867623558",1464,1544,646,237,883,"0,73159682899"
11,COLLIER,282,"LORENZO WALKER TECHNICAL HIGH SCHOOL",102641,3245,105886,"0,96935383336",570,588,0,0,0,
11,COLLIER,311,"BARRON COLLIER HIGH SCHOOL",288708,11131,299839,"0,96287674385",1604,1666,0,0,0,
11,COLLIER,321,"GOLDEN GATE MIDDLE SCHOOL",193244,6963,200207,"0,96522099626",1074,1112,0,0,0,
11,COLLIER,331,"BIG CYPRESS ELEMENTARY SCHOOL",148835,5822,154657,"0,96235540583",827,859,0,0,0,
11,COLLIER,341,"VILLAGE OAKS ELEMENTARY SCHOOL",95137,5142,100279,"0,94872306265",529,557,0,0,0,
11,COLLIER,351,"GOLDEN TERRACE ELEMENTARY SCHOOL",181267,7268,188535,"0,96145012862",1007,1047,0,0,0,
11,COLLIER,361,"IMMOKALEE MIDDLE SCHOOL",244194,12063,256257,"0,95292616396",1357,1424,0,0,0,
11,COLLIER,371,"VINEYARDS ELEMENTARY SCHOOL",146947,6747,153694,"0,95610108397",816,854,0,0,0,
11,COLLIER,381,"LELY ELEMENTARY SCHOOL",114671,5022,119693,"0,95804265913",637,665,0,0,0,
11,COLLIER,391,"LAUREL OAK ELEMENTARY SCHOOL",147497,5584,153081,"0,96352257954",819,850,0,0,0,
11,COLLIER,392,"GULF COAST HIGH SCHOOL",367446,15792,383238,"0,95879323031",2041,2129,0,0,0,
11,COLLIER,401,"OAKRIDGE MIDDLE SCHOOL",190117,7206,197323,"0,9634811958",1056,1096,0,0,0,
11,COLLIER,421,"MANATEE ELEMENTARY SCHOOL",138338,5661,143999,"0,96068722699",769,800,0,0,0,
11,COLLIER,422,"MANATEE MIDDLE SCHOOL",157967,5962,163929,"0,96363059617",878,911,0,0,0,
11,COLLIER,431,"PELICAN MARSH ELEMENTARY SCHOOL",135481,4904,140385,"0,96506749296",753,780,0,0,0,
11,COLLIER,441,"CORKSCREW ELEMENTARY SCHOOL",111457,4701,116158,"0,95952926186",619,645,0,0,0,
11,COLLIER,442,"CORKSCREW MIDDLE SCHOOL",125555,5132,130687,"0,96073060059",698,726,0,0,0,
11,COLLIER,451,"OSCEOLA ELEMENTARY SCHOOL",120100,4444,124544,"0,96431783144",667,692,0,0,0,
11,COLLIER,452,"NORTH NAPLES MIDDLE SCHOOL",151437,5151,156588,"0,96710475898",841,870,0,0,0,
11,COLLIER,461,"CALUSA PARK ELEMENTARY SCHOOL",144995,5577,150572,"0,96296124113",806,837,0,0,0,
11,COLLIER,471,"SABAL PALM ELEMENTARY SCHOOL",98820,4694,103514,"0,95465347682",549,575,0,0,0,
11,COLLIER,472,"CYPRESS PALM MIDDLE SCHOOL",129132,5730,134862,"0,9575121235",717,749,0,0,0,
11,COLLIER,493,"PALMETTO RIDGE HIGH SCHOOL",319333,14523,333856,"0,95649920923",1774,1855,4585,874,5459,"0,8398974171"
11,COLLIER,501,"GOLDEN GATE HIGH SCHOOL",278051,12657,290708,"0,95646146648",1545,1615,6707,505,7212,"0,92997781475"
11,COLLIER,511,"ESTATES ELEMENTARY SCHOOL",95108,4710,99818,"0,9528141217",528,555,0,0,0,
11,COLLIER,521,"VETERANS MEMORIAL ELEMENTARY SCHOOL",145669,5429,151098,"0,96406967663",809,839,0,0,0,
11,COLLIER,531,"MIKE DAVIS ELEMENTARY SCHOOL",125749,5132,130881,"0,96078880815",699,727,6980,585,7565,"0,92267019167"
11,COLLIER,541,"PALMETTO ELEMENTARY SCHOOL",85927,4335,90262,"0,95197314484",477,501,6532,546,7078,"0,92285956484"
11,COLLIER,551,"PARKSIDE ELEMENTARY SCHOOL",132915,5101,138016,"0,96304051704",738,767,7356,0,7356,1
11,COLLIER,631,"EDEN PARK ELEMENTARY SCHOOL",126846,5766,132612,"0,95651977196",705,737,0,0,0,
11,COLLIER,7001,"COLLIER VIRTUAL INSTRUCTION PROGRAM",7885,64,7949,"0,99194867278",44,44,0,0,0,
11,COLLIER,9004,"IMMOKALEE TEEN PARENTING PROG",4480,2685,7165,"0,62526168876",25,40,0,0,0,
11,COLLIER,9007,"NEW BEGINNINGS IMMOKALEE",4819,475,5294,"0,9102757839",27,29,504,0,504,1
11,COLLIER,9008,"NAPLES AREA TEENAGE PARENTING",4258,4080,8338,"0,51067402254",24,46,0,0,0,
11,COLLIER,9010,"NEW BEGINNINGS - NAPLES",6136,484,6620,"0,92688821752",34,37,389,0,389,1
11,COLLIER,9012,"BIG CYPRESS WILDERNESS INSTITUTE",3677,0,3677,1,20,20,1391,0,1391,1
11,COLLIER,9013,"COLLIER JUVENILE DETENTION CENTER",*,*,*,*,*,*,1636,1,1637,"0,99938912645"
11,COLLIER,9015,"THE PHOENIX PROGRAM NAPLES",10096,2139,12235,"0,82517368205",56,68,13,0,13,1
11,COLLIER,9017,"THE PACE PROGRAM",10628,1632,12260,"0,86688417618",59,68,3364,0,3364,1
11,COLLIER,9018,"MARCO ISLAND CHARTER MIDDLE",75184,2797,77981,"0,96413228863",418,433,0,0,0,
11,COLLIER,9021,"IMMOKALEE COMMUNITY SCHOOL",41216,2036,43252,"0,95292703227",229,240,0,0,0,
11,COLLIER,9026,"THE PHOENIX PROGRAM-IMMOKALEE",3452,1192,4644,"0,74332472006",19,26,0,0,0,
11,COLLIER,9027,"BEACON HIGH SCHOOL",52827,10777,63604,"0,830560971",293,353,46,14,60,"0,76666666666"
11,COLLIER,9032,"MARCO ISLAND ACADEMY",39575,1668,41243,"0,95955677327",220,229,0,0,0,
11,COLLIER,9034,"GULF COAST ACADEMY CHARTER",112467,5622,118089,"0,95239184005",625,656,0,0,0,
11,COLLIER,9035,"MASON CLASSICAL ACADEMY",116040,4768,120808,"0,96053241507",645,671,0,0,0,
11,COLLIER,9999,"OUT OF STATE/NON-PUBLIC SCHOOL",8178,0,8178,1,45,45,0,0,0,
12,COLUMBIA,11,"COLUMBIA HIGH SCHOOL",313955,21174,335129,"0,93681835949",1744,1862,3731,20,3751,"0,9946680885"
12,COLUMBIA,31,"RICHARDSON MIDDLE SCHOOL",94747,6020,100767,"0,94025821945",526,560,88,0,88,1
12,COLUMBIA,71,"MELROSE PARK ELEMENTARY SCHOOL",78720,5441,84161,"0,93535010277",437,468,302,80,382,"0,79057591623"
12,COLUMBIA,81,"EASTSIDE ELEMENTARY SCHOOL",100920,4858,105778,"0,95407362589",561,588,0,0,0,
12,COLUMBIA,91,"FIVE POINTS ELEMENTARY SCHOOL",69891,4951,74842,"0,93384730498",388,416,0,0,0,
12,COLUMBIA,121,"FORT WHITE ELEMENTARY SCHOOL",112999,7289,120288,"0,93940376429",628,668,122,7,129,"0,9457364341"
12,COLUMBIA,123,"FORT WHITE HIGH SCHOOL",182140,14044,196184,"0,92841414182",1012,1090,1539,16,1555,"0,98971061093"
12,COLUMBIA,141,"SUMMERS ELEMENTARY SCHOOL",110134,5938,116072,"0,948842098",612,645,0,0,0,
12,COLUMBIA,161,"NIBLACK ELEMENTARY SCHOOL",45617,2987,48604,"0,93854415274",253,270,801,73,874,"0,91647597254"
12,COLUMBIA,221,"PATHWAYS ACADEMY",14055,3521,17576,"0,79967000455",78,98,31,17,48,"0,64583333333"
12,COLUMBIA,241,"LAKE CITY MIDDLE SCHOOL",170618,9864,180482,"0,94534635032",948,1003,387,64,451,"0,85809312638"
12,COLUMBIA,261,"COLUMBIA CITY ELEMENTARY SCHOOL",105559,5724,111283,"0,94856357215",586,618,0,0,0,
12,COLUMBIA,271,"WESTSIDE ELEMENTARY SCHOOL",128071,5464,133535,"0,95908188864",712,742,0,0,0,
12,COLUMBIA,291,"PINEMOUNT ELEMENTARY SCHOOL",82645,4934,87579,"0,94366229347",459,487,0,0,0,
12,COLUMBIA,402,"BELMONT ACADEMY",69852,4997,74849,"0,93323892102",388,416,0,0,0,
12,COLUMBIA,7001,"COLUMBIA VIRTUAL INSTRUCTION PROGRAM",2767,27,2794,"0,99033643521",15,16,0,0,0,
12,COLUMBIA,7004,"COLUMBIA VIRTUAL FRANCHISE",*,*,*,*,*,*,0,0,0,
12,COLUMBIA,7023,"COLUMBIA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)",*,*,*,*,*,*,0,0,0,
12,COLUMBIA,8001,"PREK ESE",2602,5,2607,"0,99808208668",14,14,0,0,0,
12,COLUMBIA,8002,"RESIDENTIAL SERVICES",2134,0,2134,1,12,12,0,0,0,
12,COLUMBIA,9998,"HOME EDUCATION PROGRAM STUDENTS",1817,153,1970,"0,92233502538",10,11,0,0,0,
12,COLUMBIA,9999,"OUT OF STATE/NON-PUBLIC SCHOOL",2637,0,2637,1,15,15,0,0,0,
13,DADE,41,"AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION",181119,4938,186057,"0,9734597462",1006,1034,0,0,0,
13,DADE,70,"CORAL REEF MONTESSORI ACADEMY CHARTER",73200,3462,76662,"0,95484072943",407,426,0,0,0,
13,DADE,71,"EUGENIA B. THOMAS K-8 CENTER",301752,12311,314063,"0,96080085842",1676,1745,0,0,0,
13,DADE,72,"SUMMERVILLE ADVANTAGE ACADEMY",82155,4119,86274,"0,95225676333",456,479,0,0,0,
13,DADE,73,"MANDARIN LAKES K-8 ACADEMY",173975,14254,188229,"0,92427309288",967,1046,0,0,0,
13,DADE,81,"LENORA BRAYNON SMITH ELEMENTARY",69409,4548,73957,"0,93850480684",386,411,0,0,0,
