"Students Absent 21 or More Days by School
2014-15, Final Survey 5 - Revised as of 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
10,CLAY,381,"MONTCLAIR ELEMENTARY SCHOOL",539,23,"0,0426716141"
10,CLAY,391,"MIDDLEBURG HIGH SCHOOL",1862,315,"0,16917293233"
10,CLAY,401,"RIDGEVIEW ELEMENTARY SCHOOL",644,52,"0,08074534161"
10,CLAY,411,"CLAY HILL ELEMENTARY SCHOOL",487,65,"0,13347022587"
10,CLAY,431,"RIDGEVIEW HIGH SCHOOL",1637,244,"0,14905314599"
10,CLAY,451,"LAKE ASBURY ELEMENTARY SCHOOL",891,46,"0,05162738496"
10,CLAY,471,"ROBERT M. PATERSON ELEMENTARY",1014,30,"0,02958579881"
10,CLAY,481,"LAKE ASBURY JUNIOR HIGH SCHOOL",1116,70,"0,06272401433"
10,CLAY,491,"J.L. WILKINSON ELEMENTARY SCHOOL",850,66,"0,07764705882"
10,CLAY,501,"TYNES ELEMENTARY SCHOOL",1037,45,"0,04339440694"
10,CLAY,511,"MCRAE ELEMENTARY SCHOOL",569,74,"0,13005272407"
