" COURSE ENROLLMENT BY DISTRICT, BY COURSE ",,,,
"SCHOOL YEAR 2014-15",,,,
"SURVEY 3 PRELIMINARY DATA (as of  04/10/15) ",,,,
"Source:  2014-15 Automated Student Database, Bureau of Education Information and Accountability Services (EIAS)",,,,
"DIST #",DISTRICT,"COURSE #","COURSE TITLE",ENROLLMENT
01,ALACHUA,OCE1001,"INTRODUCTION TO OCEANOGRAPHY",3
01,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY",3
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",16
01,ALACHUA,PHI2600,ETHICS,12
01,ALACHUA,PHI2635,"BIOMEDICAL ETHICS",2
01,ALACHUA,PHYL004,"LAB FOR PHYSICS 2004 AND 2005",5
01,ALACHUA,PHYL048,"PHYSICS 1 LABORATORY",2
01,ALACHUA,PHY2004,"APPLIED PHYSICS I",5
01,ALACHUA,PHY2048,"HONORS GENERAL PHYSICS I",2
01,ALACHUA,PMT0106,"INTRODUCTION TO WELDING",1
01,ALACHUA,POS2041,"AMERICAN GOVERNMENT",28
01,ALACHUA,POS2112,"STATE AND LOCAL GOVERNMENTS AN",1
01,ALACHUA,POT2002,"HONORS- POLITICAL THEORY",1
01,ALACHUA,PPE2001,"PSYCHOLOGY OF PERSONALITY",2
01,ALACHUA,PRNC126,"PRACTICAL NURSING PROCESS 3",1
01,ALACHUA,PSCL121,"PHYSICAL SCIENCE LABORATORY",12
01,ALACHUA,PSC1341,"PHYSICAL SCIENCE",2
01,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",12
01,ALACHUA,PSY2012,"GENERAL PSYCHOLOGY",60
01,ALACHUA,REL2000,"INTRODUCTION TO RELIGION",9
01,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",4
01,ALACHUA,REL2300,"WORLD RELIGIONS",4
01,ALACHUA,SLS1101,ORIENTATION,28
01,ALACHUA,SLS1301,"EDUCATION & CAREER PLANNING",11
01,ALACHUA,SLS1601,"EFFECTIVE LIVING IN TODAY'S WO",2
01,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",4
01,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",29
01,ALACHUA,SPN1120,"HONORS ELEMENTARY SPANISH I",9
01,ALACHUA,SPN1121,"ELEMENTARY SPANISH II",19
01,ALACHUA,SPN1125,"SPANISH 3",1
01,ALACHUA,STA2023,"HONORS STATISTICAL METHODS I",20
01,ALACHUA,SYG2000,"INTRODUCTION TO SOCIOLOGY",8
01,ALACHUA,SYG2010,"SOCIAL PROBLEMS",13
01,ALACHUA,SYG2323,"INTRODUCTION TO CRIMINOLOGY",5
01,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",37
01,ALACHUA,THE1000,"INTRODUCTION TO THE THEATER",2
01,ALACHUA,THE2300,"DRAMATIC LITERATURE",1
01,ALACHUA,TPA1200,"INTRO TO PRODUCTION/DESIGN",3
01,ALACHUA,TPA1220,LIGHTING,1
01,ALACHUA,TPA1232,"THEATRE COSTUMING",1
01,ALACHUA,TPA1248,"STAGE MAKEUP",1
01,ALACHUA,TPP1100,"STAGE ACTING",10
01,ALACHUA,TPP1110,"ACTING I",1
01,ALACHUA,WOH2022,"WORLD CIVILIZATION II",1
01,ALACHUA,WOH2040,"THE TWENTIETH CENTURY",1
01,ALACHUA,ZOOC503,"ANIMAL BEHAVIOR & ECOLOGY",2
01,ALACHUA,101010,"M/J 2-D STUDIO ART 1",172
01,ALACHUA,101020,"M/J 2-D STUDIO ART 2",122
01,ALACHUA,101026,"M/J 2D STUDIO ART 3",144
01,ALACHUA,101300,"2-D STUDIO ART 1",313
01,ALACHUA,101310,"2-D STUDIO ART 2",197
01,ALACHUA,101320,"2-D STUDIO ART 3 HON",25
01,ALACHUA,101330,"3-D STUDIO ART 1",3
01,ALACHUA,102300,"CERAM/POT 1",192
01,ALACHUA,102310,"CERAM/POT 2",32
01,ALACHUA,102320,"CERAM/POT 3 HON",3
01,ALACHUA,104300,"AP ART/DRAW PORT",10
01,ALACHUA,104340,"DRAW 1",124
01,ALACHUA,104350,"DRAW 2",1
01,ALACHUA,104360,"DRAW 3 HON",22
01,ALACHUA,104380,"PAINT 2",68
01,ALACHUA,107440,"VISUAL TECH 1",17
01,ALACHUA,107450,"VISUAL TECH 2",2
01,ALACHUA,108310,"CREATIVE PHOTO 1",24
01,ALACHUA,108370,"DIGITAL ART IMG 1",24
01,ALACHUA,108380,"DIGITAL ART IMG 2",3
01,ALACHUA,108390,"DIGITAL ART IMG 3 H",2
01,ALACHUA,109310,"PORT DEV: DRAW HON",29
01,ALACHUA,109320,"PORT DEV: 2D DES HON",6
01,ALACHUA,109350,"AP STUDIO/2-D",63
01,ALACHUA,114840,"IB ART STUDIO 1-A/DE",13
01,ALACHUA,114850,"IB ART STUDIO 2-A",10
01,ALACHUA,200320,"AP CPTR SCI A",50
01,ALACHUA,300310,"DANCE TECNQS 1",20
01,ALACHUA,300320,"DANCE TECHNQS 2",7
01,ALACHUA,300330,"DANCE TECHNQS 3 HON",4
01,ALACHUA,300334,"DANCE TECHNQS 4 HON",1
01,ALACHUA,300380,"DANCE CHOR PERF 1",17
01,ALACHUA,400300,"INTROD DRAMA",14
01,ALACHUA,400310,"THEATRE 1",174
01,ALACHUA,400320,"THEATRE 2",8
01,ALACHUA,400330,"THEATRE 3 HON",46
01,ALACHUA,400340,"THEATRE 4 HON",11
01,ALACHUA,400370,"ACTING 1",107
01,ALACHUA,400380,"ACTING 2",5
01,ALACHUA,400410,"TECH THEA DES&PROD 1",28
01,ALACHUA,400420,"TECH THEA DES&PROD 2",14
01,ALACHUA,400430,"TECH THEA DES&PROD 3",4
01,ALACHUA,400440,"TECH THEA DES&PROD4H",4
01,ALACHUA,400510,"THEA DIR & ST MAN 2H",22
01,ALACHUA,400660,"THEA CIN & FILM PROD",2
01,ALACHUA,400810,"IB THEATRE 1",6
01,ALACHUA,400820,"IB THEATRE 2",7
01,ALACHUA,500000,"M/J PERS CAR SCH 1",413
01,ALACHUA,500002,"M/J PERS CAR SCH C/P",3
01,ALACHUA,500010,"M/J PERS CAR SCH 2",35
01,ALACHUA,500020,"M/J PERS CAR SCH 3",19
01,ALACHUA,500300,"EXEC INTERN 1",242
01,ALACHUA,500310,"EXEC INTERN 2",88
01,ALACHUA,500320,"EXEC INTERN 3",1
01,ALACHUA,500330,"EXEC INTERN 4",17
01,ALACHUA,500370,"VOL PUB SERV",45
01,ALACHUA,500500,"PERS,CAR,SCH DEV 1",295
01,ALACHUA,500510,"PERS,CAR,SCH DEV 2",150
01,ALACHUA,500520,"PERS,CAR,SCH DEV 3",36
01,ALACHUA,500530,"PERS,CAR,SCH DEV 4",13
01,ALACHUA,600000,"M/J EXPLOR WHEEL 1",23
01,ALACHUA,600020,"M/J EXPLOR WHEEL 3",26
01,ALACHUA,600030,"M/J EXPLOR WHEEL 4",41
01,ALACHUA,600040,"M/J EXPLOR WHEEL 5",22
01,ALACHUA,701020,"M/J FRENCH ADV",1
01,ALACHUA,701320,"FRENCH 1",93
01,ALACHUA,701330,"FRENCH 2",147
01,ALACHUA,701340,"FRENCH 3 HON",12
01,ALACHUA,701360,"FRENCH 5 HON",3
01,ALACHUA,701380,"AP FRENCH LANG & CU",12
01,ALACHUA,701800,"FL PRE-IB FRENCH 1",38
01,ALACHUA,701810,"FL PRE-IB FRENCH 2",47
01,ALACHUA,701830,"IB FRENCH 4-B",33
01,ALACHUA,701840,"IB FRENCH 5-B",34
01,ALACHUA,702320,"GERMAN 1",65
01,ALACHUA,702330,"GERMAN 2",59
01,ALACHUA,702340,"GERMAN 3 HON",21
01,ALACHUA,702350,"GERMAN 4 HON",9
01,ALACHUA,702360,"GERMAN 5 HON",2
01,ALACHUA,705320,"ITALIAN 1",30
01,ALACHUA,705330,"ITALIAN 2",21
01,ALACHUA,705340,"ITALIAN 3 HON",13
01,ALACHUA,705350,"ITALIAN 4 HON",2
01,ALACHUA,705360,"ITALIAN 5 HON",1
01,ALACHUA,708000,"M/J SPANISH BEG",78
01,ALACHUA,708020,"M/J SPANISH ADV",362
01,ALACHUA,708340,"SPANISH 1",696
01,ALACHUA,708350,"SPANISH 2",708
01,ALACHUA,708360,"SPANISH 3 HON",111
01,ALACHUA,708370,"SPANISH 4 HON",27
01,ALACHUA,708400,"AP SPANISH LANG & CU",102
01,ALACHUA,708530,"AICE SPANISH AL",20
01,ALACHUA,708532,"PRE-AICE SPAN 1 IG",40
01,ALACHUA,708534,"PRE-AICE SPAN 2 IG",84
01,ALACHUA,708536,"PRE-AICE SPAN 3 IG",44
01,ALACHUA,708800,"FL PRE-IB SPANISH 1",120
01,ALACHUA,708810,"FL PRE-IB SPANISH 2",115
01,ALACHUA,708830,"IB SPANISH 4-B",27
01,ALACHUA,708840,"IB SPANISH 5-B",74
01,ALACHUA,708865,"IB SPANISH 6",1
01,ALACHUA,717300,"AMER SIGN LANG 1",81
01,ALACHUA,717310,"AMER SIGN LANG 2",63
01,ALACHUA,800300,"HEALTH1-LIF MGMT SKL",25
01,ALACHUA,800310,"HEALTH 2-PER HEALTH",7
01,ALACHUA,800370,"PARENTING 1",3
01,ALACHUA,800380,"PARENTING 2",2
01,ALACHUA,800390,"HEALTH EXPER PARENTS",1
01,ALACHUA,900310,"HUM 1 HON",104
01,ALACHUA,1000000,"M/J INTENS LANG ARTS",795
01,ALACHUA,1000010,"M/J INTENS READ (MC)",1417
01,ALACHUA,1000410,"INTENS READ",1742
01,ALACHUA,1001010,"M/J LANG ARTS 1",1029
01,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",590
01,ALACHUA,1001040,"M/J LANG ARTS 2",1057
01,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",607
01,ALACHUA,1001070,"M/J LANG ARTS 3",1119
01,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",646
01,ALACHUA,1001310,"ENG 1",1082
01,ALACHUA,1001320,"ENG HON 1",668
01,ALACHUA,1001340,"ENG 2",942
01,ALACHUA,1001350,"ENG HON 2",734
01,ALACHUA,1001370,"ENG 3",868
01,ALACHUA,1001380,"ENG HON 3",378
01,ALACHUA,1001400,"ENG 4",236
01,ALACHUA,1001405,"ENG 4: FL COLL PREP",463
01,ALACHUA,1001410,"ENG HON 4",255
01,ALACHUA,1001420,"AP ENG COMPO",409
01,ALACHUA,1001430,"AP ENG LIT COMPO",333
01,ALACHUA,1001480,"COMMS MTH HON",11
01,ALACHUA,1001550,"AICE ENG LANG AS",96
01,ALACHUA,1001560,"PRE-AICE ENG LANG IG",120
01,ALACHUA,1001800,"FL PRE-IB ENG 1",153
01,ALACHUA,1001830,"IB ENGLISH 4",109
01,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",24
01,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",16
01,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",19
01,ALACHUA,1002300,"ENG 1 THROUGH ESOL",21
01,ALACHUA,1002310,"ENG 2 THROUGH ESOL",14
01,ALACHUA,1002320,"ENG 3 THROUGH ESOL",8
01,ALACHUA,1002380,"DEV LANG ARTS ESOL",77
01,ALACHUA,1002520,"ENG 4 THROUGH ESOL",1
01,ALACHUA,1005375,"AICE ENG LIT 2 AL",76
01,ALACHUA,1005380,"PRE-AICE ENG LIT IG",100
01,ALACHUA,1006000,"M/J JOURN 1",20
01,ALACHUA,1006300,"JOURN 1",54
01,ALACHUA,1006310,"JOURN 2",12
01,ALACHUA,1006320,"JOURN 3",7
01,ALACHUA,1006375,"SOCIAL MEDIA 1",24
01,ALACHUA,1007300,"SPEECH 1",9
01,ALACHUA,1007330,"DEBATE 1",23
01,ALACHUA,1007340,"DEBATE 2",4
01,ALACHUA,1008010,"M/J READ 1",781
01,ALACHUA,1008020,"M/J READ 1 ADV",271
01,ALACHUA,1008040,"M/J READ 2",759
01,ALACHUA,1008050,"M/J READ 2 ADV",280
01,ALACHUA,1008070,"M/J READ 3",824
01,ALACHUA,1008080,"M/J READ 3 ADV",232
01,ALACHUA,1008300,"READ 1",13
01,ALACHUA,1008330,"READ 3",1
01,ALACHUA,1008350,"READ COLL. SUCCESS",13
01,ALACHUA,1009050,"M/J WRITING 3",8
01,ALACHUA,1009320,"CREATIVE WRIT 1",62
01,ALACHUA,1009330,"CREATIVE WRIT 2",17
01,ALACHUA,1200310,"ALG 1",1485
01,ALACHUA,1200320,"ALG 1 HON",1053
01,ALACHUA,1200330,"ALG 2",616
01,ALACHUA,1200340,"ALG 2 HON",830
01,ALACHUA,1200370,"ALG 1-A",1
01,ALACHUA,1200380,"ALG 1-B",2
01,ALACHUA,1200400,"INTENS MATH",200
01,ALACHUA,1200500,"ADV ALG W/FIN APP",125
01,ALACHUA,1200700,"MATH COLL READINESS",515
01,ALACHUA,1202300,"CALCULUS HON",32
01,ALACHUA,1202310,"AP CALCULUS AB",164
01,ALACHUA,1202320,"AP CALCULUS BC",99
01,ALACHUA,1202340,"PRE-CALCULUS HON",453
01,ALACHUA,1202352,"AICE MATH 1 AS",55
01,ALACHUA,1202375,"IB PRE-CALCULUS",115
01,ALACHUA,1202810,"IB CALCULUS/DESC STA",34
01,ALACHUA,1202820,"IB FURTHER MATH 1",2
01,ALACHUA,1202830,"IB ADV CALCULUS",73
01,ALACHUA,1204000,"M/J INTENS MATH (MC)",81
01,ALACHUA,1205010,"M/J MATH 1",1021
01,ALACHUA,1205020,"M/J MATH 1 ADV",793
01,ALACHUA,1205040,"M/J MATH 2",973
01,ALACHUA,1205050,"M/J MATH 2, ADV",892
01,ALACHUA,1205070,"M/J PRE-ALG",1035
01,ALACHUA,1206310,GEO,1140
01,ALACHUA,1206320,"GEO HON",807
01,ALACHUA,1207300,"LIB ARTS MATH 1",569
01,ALACHUA,1207310,"LIB ARTS MATH 2",21
01,ALACHUA,1209800,"IB MATH STUDIES",18
01,ALACHUA,1209830,"IB MATH HL 1",2
01,ALACHUA,1210300,"PROB, STAT W/APPLS H",158
01,ALACHUA,1210320,"AP STAT",166
01,ALACHUA,1300330,"AP MUS THEORY",8
01,ALACHUA,1300340,"MUSIC WORLD",54
01,ALACHUA,1300800,"FL PRE-IB MUSIC 1",41
01,ALACHUA,1300820,"IB MUSIC 3",8
01,ALACHUA,1300830,"IB MUSIC 4",9
01,ALACHUA,1301030,"M/J KEYBD 1",15
01,ALACHUA,1301090,"M/J EXPL MUSIC 1",12
01,ALACHUA,1301320,"GUITAR 1",92
01,ALACHUA,1301330,"GUITAR 2",4
01,ALACHUA,1301340,"GUITAR 3",1
01,ALACHUA,1301360,"KEYBD 1",105
01,ALACHUA,1301370,"KEYBD 2",7
01,ALACHUA,1301390,"KEYBD 4 HONORS",2
01,ALACHUA,1302000,"M/J BAND 1",410
01,ALACHUA,1302010,"M/J BAND 2",289
01,ALACHUA,1302020,"M/J BAND 3",343
01,ALACHUA,1302040,"M/J ORCH 1",35
01,ALACHUA,1302110,"M/J INSTRU ENS 1",4
01,ALACHUA,1302300,"BAND 1",94
01,ALACHUA,1302310,"BAND 2",56
01,ALACHUA,1302320,"BAND 3",23
01,ALACHUA,1302330,"BAND 4",9
01,ALACHUA,1302340,"BAND 5 HON",52
01,ALACHUA,1302350,"BAND 6 HON",25
01,ALACHUA,1302460,"INSTRU ENS 1",22
01,ALACHUA,1302470,"INSTRU ENS 2",12
