"Students Absent 21 or More Days by School
2013-14, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
5,BREVARD,2121,"JOHN F. TURNER, SENIOR ELEMENTARY",836,61,"0,07296650717"
5,BREVARD,2122,"SOUTHWEST MIDDLE SCHOOL",1056,76,"0,07196969696"
5,BREVARD,2131,"COLUMBIA ELEMENTARY SCHOOL",710,53,"0,07464788732"
5,BREVARD,2151,"DISCOVERY ELEMENTARY SCHOOL",831,58,"0,06979542719"
5,BREVARD,2161,"CHRISTA MCAULIFFE ELEMENTARY SCHOOL",866,34,"0,03926096997"
5,BREVARD,2171,"RIVIERA ELEMENTARY SCHOOL",877,53,"0,06043329532"
5,BREVARD,2191,"JUPITER ELEMENTARY SCHOOL",958,46,"0,04801670146"
5,BREVARD,2211,"BAYSIDE HIGH SCHOOL",1717,187,"0,10891089108"
5,BREVARD,2212,"WESTSIDE ELEMENTARY SCHOOL",889,48,"0,05399325084"
5,BREVARD,2221,"SUNRISE ELEMENTARY SCHOOL",837,37,"0,04420549581"
5,BREVARD,2311,"HERITAGE HIGH SCHOOL",1933,214,"0,11070874288"
5,BREVARD,3011,"EAU GALLIE HIGH SCHOOL",1814,170,"0,09371554575"
5,BREVARD,3021,"CENTRAL MIDDLE SCHOOL",1373,84,"0,06117989803"
5,BREVARD,3031,"LYNDON B. JOHNSON MIDDLE SCHOOL",872,78,"0,08944954128"
5,BREVARD,3041,"SHERWOOD ELEMENTARY SCHOOL",613,33,"0,05383360522"
5,BREVARD,3061,"HARBOR CITY ELEMENTARY SCHOOL",559,30,"0,05366726296"
5,BREVARD,3071,"SABAL ELEMENTARY SCHOOL",683,38,"0,05563689604"
5,BREVARD,3091,"CROTON ELEMENTARY SCHOOL",770,35,"0,04545454545"
5,BREVARD,3101,"ROY ALLEN ELEMENTARY SCHOOL",667,29,"0,04347826086"
5,BREVARD,3121,"SUNTREE ELEMENTARY SCHOOL",665,20,"0,03007518796"
5,BREVARD,3131,"LONGLEAF ELEMENTARY SCHOOL",660,24,"0,03636363636"
5,BREVARD,3141,"WESTSHORE JUNIOR/SENIOR HIGH SCHOOL",964,6,"0,00622406639"
5,BREVARD,3151,"QUEST ELEMENTARY SCHOOL",796,23,"0,02889447236"
5,BREVARD,4011,"MERRITT ISLAND HIGH SCHOOL",1584,100,"0,06313131313"
5,BREVARD,4021,"EDGEWOOD JR/SR HIGH SCHOOL",947,10,"0,01055966209"
5,BREVARD,4031,"MILA ELEMENTARY SCHOOL",594,31,"0,05218855218"
5,BREVARD,4041,"TROPICAL ELEMENTARY SCHOOL",753,40,"0,05312084993"
5,BREVARD,4051,"AUDUBON ELEMENTARY SCHOOL",740,37,"0,05"
5,BREVARD,4071,"ROBERT L. STEVENSON ELEMENTARY",502,3,"0,00597609561"
5,BREVARD,4111,"THOMAS JEFFERSON MIDDLE SCHOOL",688,30,"0,04360465116"
5,BREVARD,4121,"LEWIS CARROLL ELEMENTARY SCHOOL",689,25,"0,03628447024"
5,BREVARD,5011,"COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL",1227,95,"0,07742461287"
5,BREVARD,5012,"THEODORE ROOSEVELT ELEMENTARY",466,8,"0,01716738197"
