"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2014-15",,,,
"SURVEY 2 DATA AS OF 12/20/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,500510,"PERS,CAR,SCH DEV 2",139
01,ALACHUA,500520,"PERS,CAR,SCH DEV 3",10
01,ALACHUA,500530,"PERS,CAR,SCH DEV 4",5
01,ALACHUA,600000,"M/J EXPLOR WHEEL 1",34
01,ALACHUA,600020,"M/J EXPLOR WHEEL 3",20
01,ALACHUA,600030,"M/J EXPLOR WHEEL 4",37
01,ALACHUA,600040,"M/J EXPLOR WHEEL 5",23
01,ALACHUA,701000,"M/J FRENCH BEG",15
01,ALACHUA,701020,"M/J FRENCH ADV",1
01,ALACHUA,701320,"FRENCH 1",97
01,ALACHUA,701330,"FRENCH 2",147
01,ALACHUA,701340,"FRENCH 3 HON",13
01,ALACHUA,701360,"FRENCH 5 HON",3
01,ALACHUA,701380,"AP FRENCH LANG & CU",12
01,ALACHUA,701800,"FL PRE-IB FRENCH 1",39
01,ALACHUA,701810,"FL PRE-IB FRENCH 2",49
01,ALACHUA,701830,"IB FRENCH 4-B",34
01,ALACHUA,701840,"IB FRENCH 5-B",34
01,ALACHUA,702320,"GERMAN 1",67
01,ALACHUA,702330,"GERMAN 2",59
01,ALACHUA,702340,"GERMAN 3 HON",20
01,ALACHUA,702350,"GERMAN 4 HON",9
01,ALACHUA,702360,"GERMAN 5 HON",3
01,ALACHUA,705320,"ITALIAN 1",34
01,ALACHUA,705330,"ITALIAN 2",21
01,ALACHUA,705340,"ITALIAN 3 HON",13
01,ALACHUA,705350,"ITALIAN 4 HON",2
01,ALACHUA,705360,"ITALIAN 5 HON",1
01,ALACHUA,708000,"M/J SPANISH BEG",50
01,ALACHUA,708020,"M/J SPANISH ADV",370
01,ALACHUA,708340,"SPANISH 1",761
01,ALACHUA,708350,"SPANISH 2",679
01,ALACHUA,708360,"SPANISH 3 HON",126
01,ALACHUA,708370,"SPANISH 4 HON",29
01,ALACHUA,708400,"AP SPANISH LANG & CU",106
01,ALACHUA,708530,"AICE SPANISH AL",20
01,ALACHUA,708532,"PRE-AICE SPAN 1 IG",41
01,ALACHUA,708534,"PRE-AICE SPAN 2 IG",85
01,ALACHUA,708536,"PRE-AICE SPAN 3 IG",47
01,ALACHUA,708800,"FL PRE-IB SPANISH 1",122
01,ALACHUA,708810,"FL PRE-IB SPANISH 2",120
01,ALACHUA,708830,"IB SPANISH 4-B",27
01,ALACHUA,708840,"IB SPANISH 5-B",74
01,ALACHUA,708865,"IB SPANISH 6",1
01,ALACHUA,717300,"AMER SIGN LANG 1",86
01,ALACHUA,717310,"AMER SIGN LANG 2",64
01,ALACHUA,800300,"HEALTH1-LIF MGMT SKL",22
01,ALACHUA,800310,"HEALTH 2-PER HEALTH",9
01,ALACHUA,800370,"PARENTING 1",10
01,ALACHUA,800380,"PARENTING 2",5
01,ALACHUA,800390,"HEALTH EXPER PARENTS",7
01,ALACHUA,900310,"HUM 1 HON",105
01,ALACHUA,1000000,"M/J INTENS LANG ARTS",796
01,ALACHUA,1000010,"M/J INTENS READ (MC)",1441
01,ALACHUA,1000410,"INTENS READ",2043
01,ALACHUA,1001010,"M/J LANG ARTS 1",1009
01,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",595
01,ALACHUA,1001040,"M/J LANG ARTS 2",1065
01,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",603
01,ALACHUA,1001070,"M/J LANG ARTS 3",1128
01,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",641
01,ALACHUA,1001310,"ENG 1",1092
01,ALACHUA,1001320,"ENG HON 1",695
01,ALACHUA,1001340,"ENG 2",981
01,ALACHUA,1001350,"ENG HON 2",725
01,ALACHUA,1001370,"ENG 3",905
01,ALACHUA,1001380,"ENG HON 3",415
01,ALACHUA,1001400,"ENG 4",265
01,ALACHUA,1001405,"ENG 4: FL COLL PREP",524
01,ALACHUA,1001410,"ENG HON 4",268
01,ALACHUA,1001420,"AP ENG COMPO",408
01,ALACHUA,1001430,"AP ENG LIT COMPO",338
01,ALACHUA,1001480,"COMMS MTH HON",12
01,ALACHUA,1001550,"AICE ENG LANG AS",96
01,ALACHUA,1001560,"PRE-AICE ENG LANG IG",121
01,ALACHUA,1001800,"FL PRE-IB ENG 1",156
01,ALACHUA,1001830,"IB ENGLISH 4",109
